genes;pvalue;coef
EP300;0.24350413179212604;0.9048433087974647
FER1L5;0.6389172483893144;-0.09544329203180218
TRPM6;0.1932891990299883;0.20099834662956628
CTSZ;0.360961252647337;0.5271977889310491
MAP3K5;0.9312407213824306;-0.03612040617021365
PCDHB18;0.06331604220402312;0.7121395248749369
PDIA2;0.010232733703531257;-0.33521428179032403
ATP10D;0.022288339669749326;1.0564683754579907
DGKK;0.9620927188429315;0.013850869623579029
PPARG;0.6792202775667942;0.10519276741245039
C22orf27;0.26110855408782907;0.6321282560075905
GDI2;0.7401207402548875;0.25875424368303057
GPR160;0.10688902423363339;0.5201325282726693
ITGA3;0.0004643264683893584;1.471925984512575
PRND;0.018750960387085524;0.5321794363724305
SDC4;0.9534534553791641;-0.027280344525887644
CEP164;0.7734679493649615;0.20459650573437807
EWSR1;0.17797011283853892;1.3347781005922676
MIPEP;0.5690461999196466;0.3100867972682612
XK;0.21871729343725876;0.22638234693993894
NLE1;0.03476423592981692;-1.3510356955533243
PRDX6;0.5147538979656132;-0.45871423667326233
SLC22A8;0.34701995177975864;0.2599677716496406
SOX7;0.7156564503750813;0.10166919510022503
SUN3;0.8474660632567502;0.03668976519806963
TEC;0.1773859384635903;0.5344767653795716
ATP6V1E1;0.7016581003367075;0.3071075163618306
CARD18;0.7805687058164178;-0.04255885714782974
DDX60L;0.2085731227403529;-0.48374008759369186
LYRM5;0.2913399826049413;0.26981298029699086
MX2;0.6830268870324213;0.10893812606411579
PRRG1;0.11395312957431604;0.5344410185362638
XPO1;0.3674350815884109;0.7399636573817474
BCL7C;0.03017693639493867;-1.2061544352272073
FRAT1;0.04238485481070729;-1.0231481061247039
GATA2;0.03980816190821595;0.5338712569897953
GJC3;0.8740432533536049;-0.03802897049000822
HLA.G;0.12636807736104474;0.2453364978011138
RAB18;0.9402558115490212;0.0487084646133715
RAB3IP;0.5450415706958052;0.20986692711354377
CHST15;0.7399828133700785;0.12015247975891485
CYCS;0.7189924686489779;0.1877571279434667
GPR98;0.8378859949373498;0.03033957710688773
LOC728024;0.9783223754852045;-0.0164685791142527
NKAIN4;0.15853436909629215;0.2349157465288949
QPRT;0.6021338345962817;0.10547055136938327
VPS72;0.09399492767705786;-1.4388284709932821
ABO;0.10129733132101389;0.29097195584335567
C13orf36;0.11502148486088119;-0.44478810413085845
HMCN1;0.8457174703753474;0.05601402252022875
PLCH2;0.07800723435152455;0.4213874960300868
ST5;0.06505911039731856;-0.9178140300371959
ANXA7;0.4205449557793284;0.7108205213344053
C4orf6;0.12992200740048154;-0.4753614508891049
CABLES2;0.5191500635249879;0.29625033150212443
EIF4EBP2;0.039012622779376074;-1.7394350300789376
HGD;0.5435940598757717;-0.11270259602900634
KIFC2;0.8792322545108306;0.053219285163333484
MMAB;0.9964696497789229;0.002590025951312055
PRDM16;0.7569162226606785;-0.050823371979959835
SGCG;0.8999648975967491;0.02558280633750376
ABHD1;0.1669275343401997;-0.37648650346935586
AKAP14;0.1957707945138223;-0.33237238079371306
ALS2CR4;0.13141811304210008;0.816887951416971
CARD16;0.47113122211876746;-0.24669360476427538
CCL20;0.5689508804719733;-0.1014512883503725
CRIP2;0.8365210384431553;-0.07084066923901097
CYP2D7P1;0.34024533647588273;0.3383066507392065
DCAF4;0.45478014679472256;0.4001943807547201
LOXL4;0.8245095495459575;-0.04691659271848695
TMEM108;0.13421121966966928;-0.398705379472748
TMEM123;0.4024262429487213;-0.4804835036018769
ZNF576;0.4501442545287835;-0.5403777012833809
PPP1R3E;0.9942881154420603;0.00362487022529693
RLN2;0.6490853408020916;0.08539333877540349
SCN3B;0.11626284641734976;0.31180610944934745
TCERG1L;0.8845567058544643;-0.021565820881392195
AMTN;0.76629432830578;-0.03370636047758252
CG030;0.6053979900010992;-0.24155086601161768
FKBP1AP1;0.33900833822570187;-0.3542269666806392
HS1BP3;0.14308970464646537;-0.9503783561235472
IDS;0.024772513703936176;1.1664565281697208
LYPLA2P1;0.3803787710367649;0.5834830288850951
ARHGEF5;0.27681729647499;-0.35383436450580535
B4GALT7;0.3543947077874491;0.5276554846759707
DGCR8;0.6784246799370621;-0.36358547364123606
FAR2;0.6259586207136574;0.12804731004977143
NXN;0.9474759947668463;-0.020820346438952305
PANX2;0.41692318951688145;-0.1514936498155539
PDLIM2;0.8772435746554911;0.06231351824064976
SPACA3;0.6416583647410019;-0.19586242223845174
BLNK;0.8760747304236634;-0.03796937452884149
EBF2;0.4571932346477642;-0.18181628472150485
EGLN3;0.05760889765437366;-0.43104660669151446
LOC400027;0.6083857859699797;0.2976610875452062
PLXNA1;0.29116155415146494;0.48323327766517743
SLC45A1;0.9281825597396614;0.02721733252830339
TMEM117;0.5216873113989796;0.3134594669055812
ZNF618;0.47183730497781207;-0.21904573033922148
DEFA5;0.8586483462693532;0.022977021396834264
FRMD6;0.19803375725302275;0.6154178797181795
RBM15;0.015823899091510087;1.854267664886162
SLC38A11;0.8442839801157572;0.02777845098609366
TGFB1I1;0.07224101566960248;0.8586990427293391
CSRP1;0.6882058018612689;-0.20736835843528303
HOXC4;0.21286661440943877;0.3536751457160116
PPM1D;0.7237373098546491;-0.22839024735732305
SEMA4D;0.8695377896336068;-0.0657813666575567
SIX1;0.6380558414642272;-0.08951213784142208
TFAP2C;0.9342557509855438;-0.014033738571606431
ANK3;0.7323716103132888;-0.1719906714344962
CLYBL;0.31485659622744655;0.3501948114821242
FER1L4;0.1362141446004153;-0.33178708547087926
FZD2;0.625704116307704;0.14973532030477646
LOC152225;0.8162812009526889;0.04847284808228919
LSM14A;0.6590035054599617;0.3478914877072165
MT1F;0.23842513826483358;-0.29673223077186545
MYCL1;0.8330729390653263;-0.047149871414881216
NEURL;0.08852550036367847;0.363312779713622
NUDT17;0.05700883080292261;-0.847913901566867
SGK3;0.5057075670289608;0.3508715035087566
SUPT3H;0.06809676354135051;0.8643040929318867
