genes;pvalue;coef
C10orf79;0.2719773426897445;-0.2615484397867318
CLN5;0.8646059112335189;-0.10470754899379969
PARVB;0.018156509986254427;-0.853679012521458
PIP4K2C;0.24592788607294225;1.067085008790568
PLEKHG5;0.08837957977568695;-0.9070877990570437
SUZ12;0.5020367323752715;0.5238423034384377
C4orf48;0.35057219703187015;0.22915019410200616
MAFB;0.01664841878557688;1.0044262943155917
PLXNA1;0.9380531035842032;0.039680420298532276
SNRPF;0.23230572032073138;0.8406085214937555
UGT2B28;0.41239037046456006;-0.2432501846951923
ASPSCR1;0.39401565382898907;0.6194213465192683
CEP170L;0.16049333351912998;0.5589831062630132
EPYC;0.2372253145111699;-0.2528067401877931
GFRA3;0.19299878506761325;-0.21710039022618752
HTRA2;0.2895825254164579;-1.1069105378946673
MRPS5;0.9699212981519124;0.03213434478111049
POLE4;0.015737556486606016;1.898642974105762
RHD;0.9734588572817027;0.010064826936017022
RP9P;0.6979192678676688;-0.22571011368673544
C16orf86;0.32849399305935034;-0.4794436504182368
EPM2A;0.7273735769685489;-0.21551853773868634
GIPR;0.938642666808307;-0.02721086793856313
NAA10;0.5414827720166555;0.4684528963330883
P4HA1;0.1503257188981435;0.813386267624817
TMEM130;0.32727811995458667;-0.2940635715530056
ALKBH5;0.6753975447892953;0.33133667075136797
ALOX12P2;0.4329021060085664;0.2220156487927946
CTDSPL;0.03172650020298249;-1.1934212257517542
EFCAB1;0.33414011929352894;-0.20584635681687521
FANCD2;0.9001126674385149;-0.0791324313154552
GNS;0.6838999601152672;0.3106460950272954
LOC144571;0.4826598699823166;-0.36846787309002776
NUDT11;0.3388704542768921;0.2079002248109479
RAB3D;0.5258690246818241;0.31269551025925335
CSPP1;0.19297219504693652;-0.8446003958367256
FAM155A;0.9679467223394543;0.009141955047902387
REXO4;0.19867860559863837;-1.0333189912915788
C20orf3;0.4314484065913805;-0.551973095675273
DEM1;0.8808102881276969;0.08422907831329435
FOXF1;0.7098897986182663;-0.13936331631304644
GADD45G;0.5007769578086965;0.21083402634083614
PAWR;0.9708740990231917;-0.025264537640519644
SDHB;0.10658722977393392;1.4893961476835205
SLC23A2;0.905269773221434;0.06927956924676056
TNFSF15;0.3781510559675053;0.230269032518183
ACER3;0.881609242740991;0.07710912763154583
CDK3;0.40704010693965675;0.42806942243772145
CLC;0.44906845613939983;0.14111867629092395
CLIC3;0.8146271151914466;0.05605227782521093
GPC1;0.2325915748597921;-0.5683258871491096
NHEJ1;0.10253921247252283;1.1421684581390685
CYP4Z2P;0.3303691399663302;-0.29245818333584905
FTH1;0.22883859138143303;0.7099625851139034
GPR27;0.38672193261402077;-0.1646832377407545
SEMA6D;0.8018406584153702;0.07016484755693317
TP53INP1;0.3487639552133399;0.42401003779876106
CYB5R3;0.3986916144882605;-0.6535057935708198
GNPTG;0.8167018062342744;-0.19615736166233336
LOC90834;0.6851894598915365;0.18249509949736276
MAP9;0.8591426237108085;0.054672983272116345
SCCPDH;0.5517372597066587;-0.32017186276969883
SYT3;0.4262355987887051;0.16843187740901708
C19orf38;0.7825036821682381;0.13094361319273393
CCDC102A;0.22581952588737042;-0.5608325314931503
FAM86C;0.7201677384606743;-0.16710813199906338
SERPINB12;0.0973744268379317;-0.23831401111528575
ASCL4;0.06909513282227464;-0.4238845244521447
FATE1;0.554925027829436;-0.15242959181882088
HLA.G;0.8696241485897369;-0.0419982703073482
KRT9;0.03563657923878744;-0.4986106862396281
LYRM5;0.09575313555698016;0.7539105401410877
FAM176A;0.2560733034759993;-0.313415430176968
GGCX;0.9697958292925863;0.03159192196130088
HIST2H2AA3;0.7530839928119066;0.07940530149094983
SEMA4F;0.48878416499685906;0.3174432144744734
CRAT;0.7408936424237054;-0.11380803643749805
DNAJC22;0.18455970522464082;-0.2994394133460161
FHIT;0.40677464729869073;0.2866748189487903
ITGB1BP3;0.778253759381503;0.1184888900637521
RRP8;0.39932559100344356;0.6532185725643541
SEPT12;0.9711541643897582;0.010417602731630417
SPOCK3;0.4367167072637005;0.09322805295497102
FAM54B;0.7123253652273027;0.31853605173578736
ISOC1;0.20161090782835833;-0.7603922761362962
NEUROD1;0.9638040159722345;-0.021361346919741408
TRMT2A;0.132307796124095;-0.8299291171928838
ADCK4;0.3319681694174158;-0.5780967798996208
CGA;0.875150274634497;-0.03970533155071445
CLEC11A;0.7091101198457944;0.1924377373860278
PHF1;0.7218363338332751;-0.24356534864815166
C22orf40;0.15188882853774097;-1.0742330556625
g10357;0.9322590524971022;-0.054719038502758964
MT1X;0.253689789815033;0.37875813267911745
ZNF780A;0.9430349762358861;-0.030996258362685783
ATP2A1;0.13190744510474675;-0.5781208744771285
CEACAM1;0.12098015051034453;0.38173596912614666
DNASE1L2;0.484113811073411;0.18036915169572376
IL33;0.4057154833288791;-0.17910125129019663
LOXHD1;0.5108241035901;0.17334474412402218
PRDM9;0.1897346072355236;0.3067024258161404
BMP2;0.923652408733249;-0.02355090670416418
EHBP1;0.9135158333545517;-0.05693957658746297
FAM78B;0.09136469342718863;0.4754791918278165
PAK1IP1;0.33244520088214957;-0.6402999079157046
SUGT1L1;0.3329787333527563;-0.5268639043706355
ATP5E;0.4486207065042169;0.5001511754875658
BCL2L10;0.4183290960088971;0.18190140738738572
C19orf36;0.5705847534701294;-0.1661124514956618
DDIT3;0.009316723586645564;1.0240729261394053
IGSF1;0.6735941222995236;0.10521892436919594
KIAA0922;0.15378040816609004;0.7562975566660148
RHOXF1;0.25543120160830035;-0.3565878217815205
TNFRSF17;0.5750462060722153;0.11901424921638865
VTCN1;0.73813967748249;0.05143010491290576
ESYT3;0.270978181262691;0.2725898203274954
GATA3;0.5488604442237027;-0.14710217354448163
GSN;0.37561934251011897;0.4010129089482484
RCBTB2;0.034167518685489395;1.1818955753522458
C3orf66;0.2661970398435801;-0.5960494486574711
SLC39A14;0.17733943707782918;-0.6793918569536392
STRN;0.7443026828755903;0.17970293545925728
TEC;0.2754416757768433;0.3570483528699935
CSNK1D;0.30777995556449333;0.8686246676777216
LOC399959;0.687069931018359;-0.1506464425665903
PDZD7;0.21284002209360653;-0.3581158442446559
PEPD;0.5096984083963603;-0.3957841284648503
RASAL2;0.3182090181348495;0.6298829682881043
ALKBH3;0.4260989541137855;-0.4874060750374524
C1orf133;0.8384656971610273;0.0639126971164315
CRABP2;0.18604674969029622;-0.3119702107842889
ERCC1;0.38597598436993463;0.5367306454954697
GPR22;0.2570216190940334;0.419440150727815
TMEM56;0.3775701928473951;0.22817938280258931
