genes;pvalue;coef
CCRN4L;0.8697760292101473;0.08971978969739315
CYMP;0.5038868245917367;-0.107517670075867
DBC1;0.580119159892084;-0.1606875362154785
DRAM2;0.14043600154442892;1.5723336247754982
MANEAL;0.12002712729618922;0.8028736135181201
PGM1;0.9937968978993268;0.0063465541284209925
RAD51L1;0.2622159387479537;0.8323195512660644
SEC14L2;0.02336807965117192;1.0056472731408606
SOX12;0.06534952059137536;1.3186662935609357
STK40;0.49450271647362176;0.5238032593555718
TEKT4;0.86849019706039;-0.043902608555702945
FIBCD1;0.4189632925704888;0.10133904114215064
LZTR1;0.499885827260625;-0.582886037734248
MOSC1;0.6128962600203428;0.1897264747420461
SLC39A14;0.2171932881518941;0.7553466479057498
CCDC24;0.5256355166843325;0.38723595484189255
CLC;0.8966771527547618;0.02262048385625869
DPY19L2P1;0.8940320442332769;-0.02940331180217533
ITPK1;0.36339260735676404;0.7306697996744843
KDM5A;0.7171662090750799;0.25737763399183317
KIAA1324L;0.8862546508730779;-0.0364894557743718
MEF2D;0.864669371232685;-0.15722599400875753
ZNF763;0.6764888694998261;-0.21411372765691733
BCL11B;0.9704772999424512;0.017089995388831703
CRLF2;0.2669627141358214;-0.26559281227151404
NEIL1;0.08893763717340294;-0.9698590716301068
RASGEF1B;0.5334274942157277;0.33311925384527724
DOK7;0.05854393677249718;0.47877877023213194
GKN2;0.5039167741586692;-0.08543903877735504
PLK2;0.7044797068603992;-0.163294428193776
TNFSF12.TNFSF13;0.25642571841522077;0.33701651828954443
C17orf57;0.41266060215445755;-0.3098502762891725
CINP;0.9665427172346044;0.04260422544177269
DMBT1;0.756136863939694;0.04101761999790434
ELL;0.8094889916498906;-0.24428065411038494
GLB1L;0.2754271535290873;-0.6783639345492662
GMPR2;0.23533572288242277;-1.2598957758637184
LAYN;0.9867044101179228;0.009452837620611195
PCBP1;0.7157972345338091;-0.49896157380094397
PENK;0.35584103581870585;-0.15674615955247592
SPON1;0.5069249866672647;-0.3152426592767339
TPPP;0.08964862339099319;0.5411115152133787
UBA1;0.2344846693807533;-1.492882958608096
CCDC84;0.7155909570577519;0.26274163606688244
HGF;0.5410158238364601;0.2702378947860307
HVCN1;0.6763819742054391;-0.22431179503317528
KRBA1;0.41945157405394096;-0.39284552799184325
NICN1;0.6676743972573369;0.32858344766980246
TYR;0.14844118856323274;-0.6299034637588654
ACER2;0.41672701738012397;0.2553162453082547
ERBB2;0.04498278604735483;1.354362127627668
IGSF5;0.11375863980611543;-0.41834892186355344
SOX17;0.9453220242533561;0.032038684933314285
TSPAN12;0.6166606228836767;-0.2568850788975091
AQP8;0.10578361940645721;-0.32447881808265283
ARAF;0.11911074249473928;-1.78736789811791
ARID5A;0.54928570182961;-0.48497879427193985
CALM2;0.9458322420712045;0.07005171788630972
CRNKL1;0.08019683142281278;1.9172167275857295
ETS2;0.6384323451980805;-0.2899670266723998
SAP30;0.9892685466876425;0.008430442566570804
TFEB;0.21735539258865144;0.9341836620462242
UBA7;0.7942070595825899;0.17107382247856426
ENO1;0.21909534603080538;0.78964739824699
NMNAT3;0.29223039976785004;0.5713584728941666
CCDC9;0.438945427263295;0.5997054184687786
CMBL;0.7337232511464994;0.18951377798355223
GTF3A;0.07303530390371689;1.4671674846748086
PJA1;0.039994229650767495;-1.5535669733814554
PROS1;0.17556980595864347;0.9172370176775191
SEC23A;0.032385273261405535;-1.8716229811163845
ZNF837;0.9751656670659465;0.012726841310954052
CALHM3;0.7563554888931576;-0.0402511786819552
KCTD21;0.8434839907351419;-0.17472902610324206
TCHHL1;0.7069539595535632;0.20916182687709026
TRIM33;0.17603117708629934;1.4665437948700144
ZNF600;0.9924630520356159;-0.005548338359086498
CALN1;0.054350630303861856;0.4954750266427668
CYBRD1;0.10768022979782657;0.9639228125699301
EME2;0.5485021633009924;-0.16956984119618876
PIK3AP1;0.6726565358274538;-0.17970963022316097
TOMM34;0.6958331233584066;-0.3143985192226048
C21orf62;0.8467035217966176;0.052277752264143725
KCNE1L;0.45284479246524434;-0.2782218542671045
MPZL3;0.6982383093656803;0.17570282189085135
MRPL34;0.038006909443347;-1.870205436279751
OBSCN;0.7841861433207157;-0.09680042184243151
ST6GAL1;0.16596197654852973;0.498028081878274
CIB4;0.17581825289323316;-0.7846523648517912
DNMBP;0.9959789900586277;-0.0034270681434315138
GNAS;0.7385931522020661;0.25153722702015857
KIAA1586;0.5089268841529693;0.49660055380613594
NT5E;0.841787566289588;-0.06857058479134522
ZNF595;0.6317458352832572;-0.2494932892052568
ACER1;0.062389125016004486;-0.7574101660846377
BAGE2;0.43600829982527645;0.2797360221569128
C5orf15;0.6633521199589938;-0.41163044025350903
CYB5R3;0.6835938796732507;-0.33405743503480434
MARCH11;0.6623912170925857;-0.1585611305618943
MT1F;0.10875200918768403;0.6620928353460374
SPATA18;0.24638598243826204;0.5334363078169176
TCAP;0.13052265063849777;0.4978297140916372
ZIC1;0.4416081862978003;0.14808224504872194
APOA1BP;0.04271814133127259;-2.321902953902836
CHRM3;0.505867732123483;0.1438313845351363
DNAH17;0.24150445025966294;-0.6474996956184468
HSP90B1;0.587661212168854;-0.5191373406176939
KIAA1199;0.5009208820461399;-0.18602505549620343
LEMD2;0.23498204206681106;1.2661022741460233
MYPN;0.49678578744620305;-0.1454849038975063
NHP2L1;0.797643602007225;-0.29104787285156836
OGFR;0.07911710861159839;-1.6570431323128552
RGS9BP;0.132250705540632;0.4597649468599343
RNF26;0.8268580160158674;0.28510215301742686
