genes;pvalue;coef
C1orf186;0.7524116263536428;0.06845488144685036
C3orf43;0.12198108339096944;-0.3544704871971328
CTBS;0.0026125481931676894;-1.6054380685843315
FUT9;0.7334477207314563;-0.03887659157599114
HHIP;0.8260963672493873;-0.047326701009164605
ITPRIP;0.7121471609771833;0.15196577933624597
KCTD21;0.6248066075560033;0.3225003611536867
LGR6;0.3036176882569146;-0.21066526521863657
NCRNA00182;0.3364144800734149;0.46435263946804084
OLFM2;0.3275460447301459;0.28417775499921266
SOHLH2;0.4419541433418833;0.07357812190078802
CACNA1H;0.8848171881750686;-0.031547937101274307
CHD4;0.4948034107015432;0.6899485733649514
DLGAP4;0.7051630179568542;-0.33302721648236944
DPP9;0.549706268128834;0.4997883799750061
FAM108C1;0.974280985767116;0.013186868117153123
FMO1;0.8296829927350837;0.0433888931772913
HARBI1;0.7246308041869404;0.17886051894044436
IFNE;0.34430375884121844;-0.22166802912758152
NEK5;0.6018540070147238;-0.08548120980126125
PLEKHH3;0.5897760475814589;0.30376995943521506
SGK2;0.34293291312649077;0.16275934110878645
TMEM115;0.751395116931043;-0.3417802629379626
ZSCAN4;0.907146494991927;-0.02331042448751605
ADARB2;0.9030012662049176;0.018165959247644962
GIPR;0.5119802059355827;0.15504016616039212
MAF;0.6621330375846519;-0.1165341340796699
NAT2;0.3327193896035421;-0.17261885757547527
NELL2;0.6917870223789429;0.06401334857252025
NMNAT3;0.7651264879900952;0.06087847291462618
PI15;0.7435746433101651;-0.03666570060608528
RNF165;0.6844017051835233;-0.09421486809364256
WBSCR17;0.22397131303469475;0.2729273738606413
ZNF575;0.7844336700546138;0.14493344965267435
ATP12A;0.9318764195348976;0.008964684714801847
ATP13A2;0.3531724229463912;-0.6157632613661661
ATP5EP2;0.8548957560502912;-0.06739451761448133
BACE2;0.2782348406239722;-0.3165012274333252
CREB1;0.30428740993067815;-1.277906791450055
NCRNA00230B;0.018944479368359766;-0.21959896942791934
NMUR1;0.45822385068178095;0.188339412849408
PPAP2B;0.6605096621010692;-0.2277061348827706
RPS6KA4;0.02143309552396292;1.1173662384668719
SAPS1;0.3862943930337692;-0.9923284964131173
STRADA;0.031569100745144615;-2.0326855702183475
TBC1D2B;0.0654191481480167;1.7132721459871156
ZNF497;0.9971419975634637;0.002105940403603594
ALK;0.042647693849361006;-0.44172239204047775
FOXP1;0.5315114331811641;0.3773281057371805
IFI27L1;0.668877812972005;0.20609433620680206
MRPL18;0.511834286339722;0.1934171229910814
MTSS1L;0.3652514912117606;0.42541837254021464
NKX2.8;0.28007572653417456;-0.2228928915358108
POLRMT;0.2149263361688859;1.0339859214938922
SCN4A;0.044982794927174254;-0.3668773629073128
SHROOM3;0.5980448144446431;0.2459354291726268
SURF1;0.5765320158679507;-0.3820971115907646
AADACL3;0.5568485808433457;0.5566264420118419
ARIH2;0.6658280379121497;-0.43200206328604523
ATP6V1C1;0.09743969073474927;1.1268571384527788
CALML4;0.6080742202353646;0.2167899202860001
DNAJA1;0.19670980178907316;-0.7491412793451592
MAFF;0.49728175784824047;0.17092212826393674
NOX4;0.734339166039019;0.0777098924929999
P2RY6;0.02262099189063417;0.6129298471696835
SEMA4F;0.2902143701045201;0.466280861989993
TNNI1;0.7593710854403446;-0.06198310651396827
C10orf25;0.634858844518522;-0.21141060457549937
C1orf194;0.5425737799767563;0.08076999239157144
CCDC3;0.14886573827479363;-0.5507080602790057
CDRT1;0.9950131295403148;-0.0013319234081117072
CHRNE;0.16461634739460962;0.49135847328865745
DKFZP586I1420;0.3063995849998695;-0.5121386957133379
FBXO22OS;0.35814831545798287;0.5231995226290937
HLF;0.2537354287411363;0.4459964699012854
HSD11B2;0.3085827194487146;-0.2558569656993798
KLHDC9;0.24725879827279296;0.6440740861902325
LOC150568;0.3735420263398411;-0.8091823251214434
NRL;0.617981848112984;0.2705739532438187
PJA1;0.7250928067009444;-0.18799758859468785
RDH10;0.41273220207695804;0.2279001180692176
SETD7;0.5617991851989048;0.40519002575267515
TEAD3;0.7061015679893423;-0.2863834466630688
WDYHV1;0.8255571038231655;0.12430675467318984
C17orf61;0.7797897277919152;0.1381859374405156
CDKN2D;0.8490414414249453;0.09652321641585657
DHRSX;0.326462394068463;-0.5531835979568275
GATA4;0.4345429612470769;-0.11008755565392844
MTCP1;0.606722015856336;-0.20818694204471475
PRSS27;0.03404791909231826;0.5059248416210176
RAB39;0.5795300844974924;0.10306190630440006
APLNR;0.7465064555606427;0.0672446081851834
C12orf75;0.910556731306691;-0.0340689139039764
FCAR;0.8770928509526729;0.035651698271441885
GHRLOS;0.00875351388763113;-0.8189417759129417
PTPN13;0.7124432206418974;-0.1370673517074724
TMEM229B;0.518677529676685;0.22059108855821102
VSTM2L;0.2859501861173154;0.17068812592494828
ANKRD35;0.5145036091724278;0.32637910573164564
BTD;0.12546245487709165;-0.8226786183880869
HTN1;0.8842627645579294;-0.08336836775054002
NSA2;0.5210818303961906;-0.3180118284315715
SLC25A15;0.4784855841848754;-0.3015848222636356
SLC7A4;0.5249296812325961;-0.06947048654702564
ST5;0.8682864582708951;-0.10284649695389192
DPPA5;0.9035426323519853;0.029416650789688668
MALAT1;0.5759616251928248;-0.17098811468304245
NUBPL;0.2107250313293202;-0.8801637606785774
SDHC;0.219276791156925;0.9844284243588374
STAG2;0.9323498855244945;-0.08195764860993528
TMEM61;0.6204179475773841;-0.14013491864073133
AQP5;0.03574473099189855;0.37492414045486555
B2M;0.10926058145082046;-0.7096255540454512
CDC37L1;0.5858624616979249;0.37568457102764813
CENPB;0.14068700088059086;1.1108910810380386
CLEC2B;0.4315330322575831;0.4030073251766203
CXCL2;0.25949509780437674;-0.14390046885239866
HMGN2;0.5755722066219726;0.46560268990910675
LRRC37A3;0.7697929496744487;-0.11186380959861264
MAGEA8;0.4136073980227677;-0.14163342907067278
OPN4;0.9867430370180897;0.010087766887975587
OR7E156P;0.20120827099866656;-1.880491248670424
RBP1;0.3653676084876768;-0.3992014384993349
SYS1.DBNDD2;0.5842903299704381;-0.10089191703059457
CATSPER3;0.6330631052286659;0.15528633917063425
CDX2;0.36936745309825003;-0.0817651838225917
CLMN;0.5405528488367524;-0.29101373751295756
CRABP1;0.7896097027954945;-0.03238549617843085
CRIM1;0.21163274408795207;0.7237334395369379
EIF5A;0.8230369675064917;0.1583950007092147
FBXL7;0.520298411747631;-0.2960841120047527
HCG4;0.9040478226880279;0.022078700703624752
HSN2;0.3875925327263172;-0.22376683916538426
ITGA7;0.9883926649501292;0.006021799556237674
ITPA;0.715500157825029;-0.26583310363301577
LOC100132707;0.16168409579428045;0.8676983711632185
LOC440461;0.8197118479956792;0.0589517533844412
NUMA1;0.47448551907717973;-0.5713955385913776
RALGPS2;0.42507560223576046;-0.3778900377167217
SETD1B;0.2980510829802546;0.8526361421027062
SOX14;0.5590680521389484;-0.04939546109239904
TNFRSF19;0.3504850681157672;0.15582366369603895
TNFSF4;0.6618437141111762;0.13408912718557067
TRIB1;0.4797310293742334;0.16289537265837423
TUBA3D;0.6264882443418349;0.07574797088052682
