genes;pvalue;coef
CUX1;0.5613750118589247;-0.5495266800406702
TGM4;0.7447075346397247;-0.12858493425703907
C19orf63;0.7297678801558383;-0.3183629924082509
HLA.G;0.8272891641109614;-0.07269783322364388
SGMS2;0.4662189844033652;0.34840933655620254
TNFRSF11A;0.7712100325574893;0.12346022276398187
OSGIN1;0.009332424605025712;1.606653005421043
PSTPIP2;0.6184395400652837;0.2966696099000908
SLC6A2;0.11087899464666556;-0.4263090475563115
ACTB;0.33647699342545123;-1.1006877639748835
ARHGEF37;0.7006198066497009;-0.22514964834217932
GDF15;0.07430883605348079;-0.6734908037356925
GLB1L2;0.2483251202886554;0.4636863621982666
JMJD7.PLA2G4B;0.028636271283117985;-2.0378766421664105
PRSS50;0.0643286138946397;0.5804600138769697
SIL1;0.5015679442392855;-0.8207923554705329
OR2B6;0.3095755989552601;0.3075103752680035
REEP1;0.24649134937549733;0.40102890116751183
RPL10;0.7855904793189085;0.2493868178621423
UBASH3B;0.49976564450791205;-0.33146445371753963
ACACA;0.05031618188285406;-1.7957439721029087
ADRA1D;0.9229286104800872;-0.03913116310204363
PLEKHH3;0.8644532937863312;0.11892376651280696
FHOD1;0.33204270387342516;-0.8747677938044258
HOXB2;0.2180200293025697;-0.44533257491593586
SLC5A5;0.2402665742721054;0.33281014928803854
SNORD116.20;0.5112766407389344;-0.24463553704396712
STK32C;0.1484501982688599;1.0773961875403533
YY2;0.9266524323821623;-0.04213862838870534
C1QL1;0.7101588832814041;0.14201864972507358
OTOP2;0.7977442511400663;-0.08979643268844012
SET;0.7312280012736321;0.36959663896959344
CTDP1;0.7047736224833132;-0.35131907430927056
LGI4;0.5373508239390681;-0.29707362349755
NTF3;0.2337160340067137;0.3272394651225007
CACYBP;0.8540580214403741;-0.19012060904795194
SLC4A2;0.4401540674715253;0.6535974065692501
ARCN1;0.3250604526633556;-1.1058974788902998
C1orf125;0.9593256149462911;-0.018358805633780662
C1orf91;0.34983962438968164;0.824596596013476
MTMR4;0.5443274722019908;-0.6913585519907925
PRSS3;0.11290888859857381;-0.41662065036759777
RNASEH2B;0.8141561816515736;0.24520806902210934
TGFBR1;0.7380199837194348;-0.2894521462760885
CA5B;0.5507320736389423;-0.43777968091560554
CBLC;0.1399877777121115;0.5722933358631206
CLN5;0.6356399606097205;-0.5612477731100063
DLX3;0.04059223689749409;0.5896540336048168
EFNA5;0.6136212937560122;0.21414835786890682
FAM13C;0.5641521501774338;0.24171621317487232
PTPRC;0.47418617006838426;0.48191960876948925
ABCC3;0.21122777542198734;0.548352780343676
