genes;pvalue;coef
ABHD14B;0.7464054604711294;-0.04294561141268365
ABL2;0.41904522321440973;-0.10285035479511467
ABLIM1;0.7466989044617255;0.02159136476326393
AMY2B;0.0032236990138630748;-0.16236265893376148
ANKRD57;0.7665343534210416;-0.02943558807767547
ASPH;0.5676561522099846;0.05473801607168986
ATOX1;0.7608342498616469;0.04247577189885585
B2M;0.2750372827099077;-0.1081093323078293
BNIPL;0.3719073013210419;0.047515730885183724
C16orf71;0.0018738977410313923;-0.23851067609677443
C19orf54;0.5895729317955689;0.07177795721411837
C1orf230;0.45623467487536096;0.036952250065823124
C20orf195;0.22547352867719306;0.06056859169614116
C21orf34;0.6234312503161976;0.02347130445902822
C3orf39;0.04478844994799454;-0.2442797429375063
C6orf186;0.06256634683916647;-0.08988974024048808
C8orf4;0.6491014978441996;-0.023098165416173013
CARTPT;0.9796622036612098;-0.001139583164673212
CCDC120;0.12323130586221442;0.15519164203447192
CCND3;0.16321583090610692;0.13992176120047087
CD209;0.23321226972182119;-0.06103918653432218
CGNL1;0.38642046364948457;-0.04599766209326411
CHPF;0.11764710277411226;0.15404243119214311
CLCN5;0.6092697394283918;-0.04408209755139813
COQ10B;0.05555687348532329;0.3301079390803572
COQ4;0.44165052227611856;-0.12706723810008333
CSH1;0.48331747087598453;-0.06251889387212663
CYP17A1;0.4439102242118994;0.02430969553722474
DDX43;0.016075842283685998;-0.06349032422418893
DFNB31;0.1326134982579799;0.10264614289442214
DHDPSL;0.1058428849830768;0.06244171905855943
DNALI1;0.41561898774348693;-0.032225881109247366
DPPA5;0.3318443080529493;0.07634544513267748
DYNLL1;0.44488388155927927;0.14841440691523194
EDN1;0.3397911116844915;-0.0541667278432865
EFS;0.8291728810753302;-0.011096359945119875
EMR1;0.7948591704491973;0.011508325497219784
EN2;0.023109206511551666;0.06901714098571039
FAM120C;0.24158059839868806;0.12410796259470282
FAM122B;0.07374710590842705;-0.25651524205901655
FAM57A;0.43414375944340566;-0.07578568271728538
FOXO3;0.5787414213814683;0.06246052935376274
FUCA2;0.13524079408703238;-0.16880642514072855
g100133144;0.5371536931298254;0.03317403455523829
GEMIN8P4;0.5238575978536897;0.060740604483676686
GGH;0.010802040446369225;0.20056811729490315
GLB1;0.6143279246152775;-0.07664384873566717
GLI4;0.45477385633822043;-0.08106070445509848
GLYATL2;0.2649512644636699;0.03995304812101818
HOPX;0.3872783654487819;0.045302740648306916
HOXC13;0.33154060625565585;0.02874282769132278
HSFY2;0.4656881530824265;0.038233634498682105
HSP90B3P;0.8448026892369973;0.013232460836054253
ICAM3;0.09333888257886704;-0.19074857504719855
IGF2AS;0.0400373256352025;-0.07175064119463398
IL1RAP;0.40456516119416075;0.057688342496930375
KCNS2;0.8623837549172009;-0.008463119263668897
KCTD19;0.5297341777118854;0.03498105437754523
KDR;0.3255868508810532;-0.07441525747514811
KISS1;0.6129482791278698;0.019752187645639203
KRT75;0.1202365873083125;-0.04833389322442269
KRTAP5.7;0.7458225495308151;-0.02149397270129052
L3MBTL;0.8717271079679029;0.012155716168440588
LFNG;0.27032295773664117;-0.06779137183440942
MAFA;0.7539407248809699;0.014536188742098449
MAP3K1;0.09537218817400722;0.17953161858019157
MAX;0.19537196236797183;-0.23452945167762987
MDM2;0.2679942739766774;-0.08932267885404878
MOCS2;0.03478472979135097;-0.3082885138699878
MORF4L2;0.32075042218743766;-0.1717046195867889
MYH14;0.05165397356061902;-0.06788116721384382
MYOD1;0.15489481156599882;0.05729579496606493
NAGA;0.036669591282162954;0.2890322924850007
NAV2;0.6440401305356949;0.029888852667298724
NEB;0.8844396192468995;-0.005340070024212854
NENF;0.6443454773523065;-0.0588501636834945
NKPD1;0.49526474118961816;0.03624007425065164
NTN3;0.046164083677765144;-0.11188716574957581
NTN5;0.40947575173263406;0.04455230377552922
OLFML3;0.569643237707511;-0.036080915495392725
OSBPL6;0.004774379460454088;0.14249895874922952
OTOL1;0.9463176139420899;0.00453959608267597
PEG3;0.6218234511811359;0.016691773205849157
PHOSPHO1;0.806786946300208;-0.013047273268010025
PLA2G4A;0.29858564766068674;-0.050328948207965414
PRRG1;0.4154797769979325;-0.06174367326067428
RAB3IP;0.7210714760415918;0.024753379627269586
RASAL1;0.31566214742205767;0.03679575016730127
RUVBL2;0.366688573579825;-0.16134154357940264
SCUBE2;0.00745053325664488;-0.09848419270786127
SETD2;0.03822840932242588;0.4259165374424483
SHC3;0.7545408270403274;-0.011775799855689757
SLC16A1;0.02357060369831584;0.17083032049259284
SLC35F3;0.4421873473297463;0.029945519371524752
SLC4A11;0.9614711143712998;-0.002258287318672936
SNAP23;0.019389141162144408;-0.38636098146610626
SPDYC;0.08054864036507606;-0.08055292922617636
SPNS1;0.29436922470493454;0.21648172975534508
SPTBN2;0.7110758859212138;0.018330359248455802
SS18L2;0.46223552141831714;0.12437629186845925
TDGF1;0.8850696543587415;-0.005034621656529064
