genes;pvalue;coef
ABCA6;0.8662674061750331;-0.030007356578359255
AKAP2;0.43066002799978254;-0.20756945818457434
GBF1;0.14391803762908298;-1.706086510555783
LGR4;0.8954116865487064;0.06230277922236126
LINGO2;0.5880788824888802;0.10996444049412311
MVP;0.31011840168078464;-0.57712001145277
NAB2;0.7109349805004201;-0.23164574401204716
RABGGTB;0.9372402523286789;0.07380639048008118
RNF212;0.370594247172778;-0.1900634808624995
SND1;0.7657820637187455;0.2774600460999462
DCUN1D2;0.3057972834801054;-0.9238234364351111
GALNT14;0.892881587713453;-0.037196493762944344
HRK;0.1681310623277723;0.3644578145257173
ID3;0.8091243405092269;0.09874569398394865
IFT122;0.5986954344333812;-0.45283722872967425
KLHL31;0.1470637637022453;-0.5121442280166874
LOC283267;0.11086311750659579;1.566447993584668
PPP1R16B;0.8875043476758354;-0.07060596088289467
SLC44A2;0.693605937816876;-0.37778042080700586
TNS3;0.5839619372019093;-0.26046557254912506
ADIPOQ;0.2359410882869537;0.33680520981314105
BOD1;0.8211112965513407;-0.25093019673817507
C10orf78;0.24047235557515645;-1.0033713905693404
CACNB2;0.10876883389229342;-0.610748912026429
COL18A1;0.6526213351444505;0.22648702060360368
SYTL4;0.7334528921411376;-0.14752105538631133
TLN2;0.4593510490140462;0.49167976836957905
TMEM56;0.5188410988445847;0.2767683207906375
UNC5D;0.597319904661078;-0.10088976955292626
WNT16;0.05081213134833023;0.3978061235373253
ATRN;0.34640000546406446;1.1657587913690295
CCDC107;0.5625118680408296;-0.5167138884646955
CIDEC;0.1975157062641668;-0.37889781158084324
DNAH14;0.464902115978847;0.15435950686243863
FER1L4;0.6640742438140821;0.12374000738123644
GNS;0.8961649410600202;0.09225502553834147
GSTO2;0.22398274485733416;-0.4929045037620886
HYI;0.790376338674054;-0.16851930448784008
INTS12;0.5185383984466295;-0.5637191279533379
MORF4L1;0.751559589409393;-0.41250577548469997
SLC9A7;0.13040074575041669;-0.6705253854671119
SP6;0.3563462455572325;0.3477856570506209
TBX4;0.2756664682524761;-0.2577340506998275
TEKT4;0.8291864883100744;-0.04696415539976289
ZNF691;0.7866808454451487;0.3192100652275262
CNNM3;0.31702157845345413;0.9458565384623426
DOLPP1;0.21664936783090327;-1.154278373030862
LIN7B;0.9628006092732417;0.03016588498308135
OSGEP;0.7740281799896874;-0.26059159898493867
PPFIBP1;0.9919272718743868;-0.004959108861106423
ADCK2;0.5389624666037679;-0.48578512163721915
C7orf25;0.8373363552397262;-0.2409058166469749
F2R;0.14512673252567643;-0.5454737557543791
GALE;0.8401626419982454;-0.18698624059688573
IL27RA;0.3214392855535626;0.46205231597879703
KLRG2;0.26456208665580927;0.4016278656634875
LAPTM4B;0.02423323703922474;1.6319343448339396
RNF122;0.3822635372762917;0.36098522318690834
RNF126P1;0.09665540686875691;0.5817304078134107
ROBO1;0.9953362484791335;0.0017202782905166322
RPUSD2;0.49878551301027807;0.7625759715118812
SFRP2;0.650379393744005;0.08477384720452728
TBC1D4;0.7787715604541783;-0.23514989095008135
TMEM47;0.7881519507307589;0.13260081979443022
TSHR;0.6396375303490136;0.07114936505879202
ZNF483;0.3158188252615183;-0.48246202902852064
AIDA;0.3637978058471364;0.8585057242025436
BCKDHB;0.029679108880857952;-1.678504197791294
BCORL1;0.36583231589307774;-0.616108472769247
CRYGS;0.06485690994648578;0.6463582689757252
CSRP2;0.5465173944796303;0.16093384090483484
HIF1A;0.5684565738325027;0.2889623181185853
NINJ1;0.7431899009201011;-0.15954441405963768
SLC38A1;0.8514440839259009;-0.05931457341741014
VSIG8;0.10991986037906018;-0.42256972487520694
WNK4;0.5400393455002763;0.1532558368039541
ABI2;0.8535178470752396;0.23093488234854775
ANO1;0.9286305126826908;-0.022896049463373414
C10orf110;0.20849654532079998;-0.5540557800806308
C2orf88;0.06530307415199899;0.954578161469163
ENTPD2;0.8822835388558768;-0.042487538256530066
FBN3;0.2006428971400498;-0.22532873775430887
LOC92973;0.07860884756660982;-0.9182085796247377
LRRC28;0.19141108186753797;-1.203591912115628
NCOA1;0.4686056599484727;1.007853227456539
NDOR1;0.5468472708213709;-0.5705198755963754
PGPEP1;0.42023899879553994;-0.6401440743338761
RIMBP3;0.7181158102988907;-0.15385227422683162
SNTB1;0.25468853985666473;-0.4625532083948853
BMPR1A;0.3141074047850575;-0.7428969230704614
CCDC67;0.7888603424936869;-0.0797551919839244
FLJ13197;0.4078488787541714;-0.4352134447582581
GABBR2;0.6161135949027277;0.11166159590696231
GNAI2;0.45276389804487027;-0.7646763225871402
KLF13;0.551921263422132;-0.44985652419959093
MFN2;0.7241655927979124;-0.4371734136681351
PRL;0.8722967482680088;0.09847347641083684
TH;0.6564936380329421;0.08657243832819993
TUBA4B;0.8572695900110114;-0.04856130005779042
WWC1;0.2608442094852417;-0.5624780969059693
CLDN19;0.020667248355849495;-0.8320719551470592
CXorf26;0.9136634544471022;-0.06669593716563725
FAM18B2;0.4868517407781364;0.6193142984809057
LOC146880;0.6568209200579753;0.41975540755861074
LOC728723;0.7962491397553239;0.130982872646819
NXPH4;0.5588972356932691;-0.1517561845269084
OIT3;0.02164883066783738;-0.8847107435822007
PRODH;0.40013436351006226;-0.29800001173231183
RNF149;0.8939517084745319;-0.06848616198388197
TTC28;0.8139563701133861;0.2086776299650985
UROS;0.6224420985941441;0.4098564328595191
VAX2;0.9780327943235491;0.009522610226859244
ABHD6;0.5946562391774519;0.4180209265852535
C18orf22;0.2503087369443441;0.8211946833508132
CCDC56;0.038999035970924724;3.1248550345675183
CHST14;0.5928694317524217;0.4287569285232211
CKMT2;0.6370793414505742;-0.19198734794954025
ETS2;0.7562333268789743;-0.1973140670790191
FAM66D;0.736396299098478;-0.09788234964761265
GALNT11;0.9862021187394409;0.017197506814417323
IGSF9B;0.8612857453525856;-0.05417396741815911
MAPK15;0.05624184631123572;0.3684853475817102
RBCK1;0.0029220113483522936;3.2856640083001176
RD3;0.7215740693322217;0.07261180796467429
SLC5A9;0.9397379119881029;-0.024105488256576945
SNAP47;0.05656050862598724;-2.4734655967180452
FIP1L1;0.41587173692552526;-0.389600105093124
MYL10;0.46724349686263844;1.047190949621908
NEURL3;0.23362252250683435;0.29313450605030733
PDPN;0.2891183170605943;0.31181112192703436
PHF6;0.4862836004568659;-0.7440571051116537
SCMH1;0.07811266212361069;-2.079239755479928
SIK1;0.09200159457436702;-0.6616312246134435
C20orf111;0.4402510452825932;-0.9362255017735747
CD79B;0.2603503204933848;-0.36166500227373377
DNALI1;0.12947402926623153;1.3628870078185489
ERBB3;0.6358764032695171;0.13322786591568891
FOXO4;0.1966569700854175;-0.8785738852144149
LOC389333;0.04798820748704182;-0.8968985828060789
MYPN;0.75754313963579;-0.0711597000651741
NDUFS2;0.9803862856175276;0.0353681922646661
NEK9;0.012164545785575747;-1.5656173535119675
PALB2;0.4171787823607762;1.055834082408358
RASSF1;0.040078995946804155;-2.2406503656538015
C9orf72;0.4197940682255097;0.5244205010807633
GDPD5;0.5711443494276097;-0.21507494826381465
LOC100287718;0.009035828652473446;-0.8887420508105079
MLH1;0.4181916256988186;-0.8682509541291744
PALM;0.114417022379184;-0.9626446290564407
SSPO;0.8100830361212277;-0.06465030256316467
TMEM19;0.597832503340122;0.4640314410461713
TSPAN17;0.355583771745295;0.9292594080670288
C11orf92;0.46707527894212664;-0.17860467815457395
C13orf29;0.34965240790715657;-0.3382120941905612
FAM20C;0.7204573659841476;-0.2547180011287089
HEY2;0.288886657497301;0.400243343588738
HHIP;0.7036630694188923;-0.12441648383637091
HMGN2;0.8457732440161966;0.18702096133488202
HSBP1;0.7226429252222126;0.415999116282318
IMPA2;0.09208402685949021;-0.7813635804043905
LOC728758;0.03194881900308307;1.335538009526682
RECQL4;0.16987155806539544;-0.7235910520099075
WNT8B;0.7754033970927099;-0.07546853064377179
ARCN1;0.8259661487500501;-0.3072373675441862
C15orf48;0.39785901964459347;0.19630105874912518
CATSPERG;0.6610842511613946;-0.18585748652765838
FOLR3;0.08950664036757604;0.38191133399966604
NAIP;0.12088328908458637;0.718738799050632
PRINS;0.9573289199951214;-0.018650653327335807
TMEM134;0.018905437584389784;-2.703321614381499
ZNF479;0.8191488740053495;-0.24035639298972644
BAALC;0.6430952479422383;-0.24276912311782628
C11orf20;0.08985348958212051;-0.41995197913565724
DEXI;0.9117423483015002;0.12022915885052798
FAM186B;0.3021596375097474;-0.4623280475657176
HIP1R;0.5119460137188272;0.3298143043789655
IGFBPL1;0.28247687686359346;0.19943331701746528
MINPP1;0.9268163061381861;-0.0940031236914781
STXBP6;0.5683676598010514;0.23018138122323106
C10orf2;0.5821188667388326;-0.48266540849483824
DLEU2;0.40776593446425335;0.3655954257560411
DMBT1;0.15864207331140145;-0.3729159968579707
GCK;0.2070175288647631;0.32105577307068855
OTX2;0.1412752724725912;0.32588570686848456
PLEKHH3;0.2558697477774611;0.9300536846406913
PSMD8;0.3881322036222389;-0.9721897918899302
TUFM;0.1734246844587447;2.218601401156146
BTBD3;0.7037022831294999;0.29856683537785234
CCNG1;0.4349334786698509;-0.6400126455027899
DCPS;0.7248809746916602;0.39998815391548476
FAM117B;0.020790351978517193;2.1689144267562686
KIAA1841;0.04497529566138422;-1.7390205374180723
KRT83;0.6425300751123268;-0.09611061987170282
LINGO3;0.7701899006461181;0.06557952893110128
LOC642826;0.4231606246585847;0.41863218452626366
MCFD2;0.7088520754968817;0.4733421848138796
MEIS1;0.1331216783577956;0.7317129735523535
PLCB1;0.8237651138275779;-0.11104585494398754
SDHC;0.08482951724912945;2.4897451459098563
TBC1D1;0.8242083183288933;0.1273524839347222
VOPP1;0.9513217229586559;0.026055109391053405
ATR;0.057164559789283316;2.0577333788619803
C15orf59;0.625437919929251;-0.27683538593942697
CLEC4F;0.7739960014846723;-0.07377446719152748
DKFZp686O24166;0.7350667949458505;0.1285509276003231
FAM22A;0.08222271954433616;-0.9188055237756498
FGFBP2;0.6928012615994352;0.07782976975226953
GPR22;0.25498736600374783;0.3743955298256874
KRT75;0.5774831908895663;0.11442604937014098
MRM1;0.9025526284260879;-0.11012330847316484
NADK;0.17328102742769258;1.7468427349385809
OBSCN;0.09356493800973716;-0.716881524604921
SLC7A4;0.1573137900225252;-0.5300578820405226
SORD;0.4112870800569025;0.45921315844629007
TBX1;0.3300133265774111;-0.22760356440614227
TRIM27;0.39187305128908356;1.2216698511498465
ZBBX;0.07692484847417375;-0.6508129084052636
BRIP1;0.16210669815196266;-0.40988795588595517
CARD11;0.22719450007160114;-0.5476426918725172
COX6C;0.3442235896562049;0.8943161555547373
CTCF;0.40013788200219014;1.5153424464184626
DBN1;0.3003547545894465;1.017609303775438
FIS1;0.06632062111781982;-2.027747956536784
GRAMD4;0.9718800605229907;0.030287712140780017
LOC150197;0.5415955965763488;0.1830641550553307
LOC389791;0.6266107474380354;0.23106550239256715
MOBKL2C;0.39313612254054764;-0.6199184802404415
RUVBL2;0.2047929286088075;-1.1826875293403278
SERP1;0.8289262137356832;-0.2526202799035233
TINAGL1;0.9765199988563625;0.016519653490306284
ADCY10;0.050731687175522996;0.6850375363089828
ARAP3;0.7817626285187775;0.15750601175373238
GPT;0.2887393541243398;-0.4284660504375037
GTF2H5;0.06954152577656894;-1.50418340214926
JMJD4;0.31300945822293325;-0.999363284906949
LOC284578;0.9608481511102351;-0.015528549314368034
SFT2D2;0.7434782258178239;0.1726371204367566
SLC6A7;0.6008181081087481;0.14327999202346553
SLITRK3;0.3255377347562034;-0.2629814687453799
TNFRSF11A;0.8826070315540101;-0.05256805428738092
WDR72;0.16495284115205344;0.25111168965910874
AQP10;0.4065395324768335;-0.3658394666622689
CISD2;0.3610014813647202;1.0792939895674827
EPHA4;0.7111985104810112;-0.12403420471147197
ODZ2;0.06935031851568578;-0.4261448755455372
PCDHGA1;0.011615659210232726;-0.33904645536182837
TMEM150C;0.5744336360475;-0.23316663421187145
TMEM64;0.10417385316503897;-1.156887574681639
ZDHHC8;0.7885756978984556;-0.3028085824243465
BLM;0.8150636846188529;0.06301345649544404
CAPSL;0.5385339368335924;0.13976210795210553
GALM;0.7945502973706452;0.17288742665261256
HLA.E;0.24047383722007698;0.8704462281713484
NRG1;0.1676516632901861;-0.27130520097182165
RPL10;0.6548183231578504;0.36781347461178965
SUOX;0.06176256725050392;2.1018755697043803
TBCB;0.1918873313146805;-1.327243233612274
C11orf71;0.6414482348183054;-0.3020876152973121
C18orf21;0.9813839625319412;-0.02185907662812403
FLOT1;0.23071118149288627;-1.433493880063726
HEG1;0.6105306089874405;0.3829297830240899
LANCL3;0.12728661231615812;0.39124244073931475
OPRD1;0.073333481541387;-0.438042842710768
SPNS3;0.12805097708611504;-0.5017994452755481
SPTA1;0.8285356487953233;-0.08037153318318696
EPN2;0.44078348162856607;-0.5709744136352993
FAAH;0.660588977258088;0.2730678890546141
GRM7;0.2113354273768644;-0.3155183968663677
IFNK;0.40054039666381036;-0.46012070180614456
LOC440925;0.8667242155498188;-0.042375764576368935
NRM;0.9754631224727199;-0.01844530581133199
NUP98;0.03949275621043711;1.9903042504477655
TIMM8A;0.7801591598698566;0.26904914316341466
TRIM8;0.14962255178767536;-1.336450609132755
ALG6;0.24379880399322207;0.7678520301076585
C14orf4;0.38892908741052834;0.5795584388769022
C16orf71;0.13371852197026052;-0.9179871023144509
CTSK;0.5123456408045488;0.22307133401585766
EFCAB10;0.14619249000652884;-0.6339833174688814
FOXO3;0.8120059022313597;-0.20313447741360702
LRRC37A3;0.022609284792608802;-1.2278985055211398
MMP28;0.030236546411962092;0.906303438959832
NSUN6;0.6827980920411727;-0.3290380738090256
PCDP1;0.6629173212973599;-0.15681573587964118
QDPR;0.15053993415609312;-1.2179804509574603
SNAI2;0.2394461829139386;0.3178181167609763
SRGAP1;0.09905931846431738;1.1121820664795492
ZNF331;0.9988249986529932;-0.0008244625039649331
ZNF79;0.6265740550944785;0.39129001644006306
DCXR;0.8858409912159835;0.1168852410342019
MECOM;0.9923722141179417;-0.0036861061153556354
MTAP;0.6807960888502693;0.1810349291529711
PFKFB2;0.29946550011342177;0.39003642676792144
PRDM1;0.9743294108555529;0.014822196016133084
PRKX;0.141042894034251;0.6920636526948599
RECK;0.9067075575561524;0.10635858532017625
TCAP;0.6193173538777286;0.2588266575629793
TMEM5;0.09183663257338202;1.417096394497683
WDR66;0.9359954541962235;0.029736929541228353
YSK4;0.6322175419575895;0.10900906552780264
ZNF835;0.7705368487618771;-0.15239616833759634
FKBP1A;0.05042248849860826;2.451495044429598
HSPBAP1;0.4653500582602711;0.6927861086508779
KCTD8;0.19126436122472845;0.503710062430899
LOC286467;0.2855220368059507;-0.18019337102844235
MAGED1;0.14931338714307474;1.2418299700778415
STX16;0.7632351599948046;0.3746740204946667
TBL1X;0.10474069124086742;-1.2123479037280138
TMEM195;0.6784449942037659;0.07948336651009484
UPF0639;0.8897189536298762;-0.037207975516043094
ARHGAP18;0.5178636822108824;-0.2883150836851387
ATG10;0.09808453831747446;-1.1868068373957308
