genes;pvalue;coef
ATP1A1;0.21198986960827781;0.2458398956650324
C17orf69;0.4773064574601419;0.08010027663866016
C19orf57;0.8205894345531458;0.026438347418113534
C19orf63;0.7437939257649698;-0.053495176088510836
C20orf196;0.4953588739895862;0.12722492179095665
C9orf103;0.9029900990618709;0.018980802668796166
CBR1;0.919953651058321;0.013709224095330628
DENND5B;0.44775044075080817;-0.11520722262298201
DOK7;0.47905943062386336;-0.046615484114597296
FETUB;0.8245623716780718;0.015859747958842683
GRIN1;0.18085348679900093;0.1024839763221272
HAUS5;0.39247645915835105;0.19423678327734753
HTR1D;0.29204774276098955;0.06743811276251702
IDH2;0.5469870439967601;-0.09784008558230453
KIAA1967;0.5242835578490247;-0.14942468455633814
LOC647309;0.6238681828228716;0.03462506438201808
MSTO1;0.7794011915234389;0.06403513884471043
MTHFS;0.9607554660964842;-0.009859590453450777
MUCL1;0.8992727079632691;0.007253457390159411
MUTYH;0.972185673085021;-0.00797043663483931
NNMT;0.4155678673082275;0.07172052968990511
NR3C2;0.39331050697088665;-0.0848785389992284
PAGE4;0.43545879715649205;-0.05492214587544156
PEBP4;0.7882958590785294;0.0173549130881997
PLLP;0.5672324995414775;-0.05176063627586553
PRPS1;0.46983630430966516;0.15590030146215644
PRRX1;0.39914673947523915;-0.07551099188960829
RASSF10;0.5167270616054286;-0.04408223556885189
SEPT6;0.21045056297373932;-0.17472456423880675
SLC23A3;0.007834709980397307;0.25775949988555785
SLC26A9;0.8712557810756895;0.009863156883687163
SP8;0.7286472731921472;0.01962774567784132
STAG1;0.3419381121206886;0.22343358031764557
TBC1D3C;0.47465222210768165;-0.044562226744410814
TMEM188;0.6168294510038449;-0.13122768084984066
TTYH3;0.4582383952779493;0.11800783296546614
AADACL3;0.39898560957962803;-0.14180576381735577
ABLIM3;0.2382527275617088;0.11168287383130089
ACO1;0.272784923553956;0.20971493595692936
ALDH1A2;0.10023977135826984;-0.08443961510322522
AMOT;0.14566879001630242;0.13068958889292212
BOD1;0.2671383014323748;-0.3210219161935194
C11orf66;0.2765802005145346;-0.12178184039880366
C20orf30;0.10399092234347539;-0.44752274482766324
C4orf7;0.6648143692367472;-0.018088241804391572
CA14;0.2792731797752648;-0.07489394957346558
CCDC3;0.12952850965302615;-0.14006006803247284
CCR7;0.9875911011826604;0.0015949453426615358
CRIM1;0.5963564268194188;-0.07848391723045547
CRLF1;0.7921577811039295;0.014405694840339529
CT45A1;0.1528804099299288;-0.07544309677057681
GCLC;0.7471099984842808;0.053808788138854584
GUF1;0.10776009421372414;-0.3854487526389527
HSPD1;0.00286942087726148;0.7093540346976897
IFNGR1;0.4880787739865803;-0.13956398876826295
KATNB1;0.3070436456802461;-0.2501087593806191
KLF11;0.6832097284003837;0.07731513939352976
LOC100144604;0.7120669939110293;0.02788928062725736
LOC541471;0.9493275456191559;0.009298393750852065
LPCAT3;0.8019747975677756;0.051090304675849046
LRRIQ3;0.721407332591063;-0.03417493644001286
M6PR;0.5447697979149906;0.17728959767982977
MECOM;0.015638799254742673;0.2774845820671788
MMP15;0.4192927657620843;0.09794489728293951
MSN;0.5270649437957482;-0.11807930539663472
NDNL2;0.9961909478774049;0.0010875113963508753
NUAK2;0.4612833726465634;0.08766486633379134
PHLDB2;0.5239471490147429;-0.06929750421860034
PLTP;0.3564640588506559;0.10215931040674302
PPP2R1B;0.007617279884543206;-0.5228577266458352
SELM;0.01341684943616943;-0.2821881832789046
SFTA2;0.9728249805756426;0.002523482668490693
SGK2;0.4485792660838336;-0.06240906669894244
SLFN11;0.1849440797816161;-0.17197718448964477
SNTB1;0.2446625284222348;-0.13126668456675736
TMEM20;0.13122304619986072;-0.21744311820797532
VEPH1;0.0807757368040182;-0.09156587637077325
