genes;pvalue;coef
AADACL2;0.14841061842506495;-0.10256310903186813
ABHD14B;0.5315545094341603;0.10562787434732848
ALG5;0.7212154271642339;-0.06850032072025883
ASCL2;0.13801574208128353;0.0966341462633564
ATP6V0E2;0.8068047456536906;0.025560809247021612
BAGE;0.1914893892758297;-0.08255202818677675
C14orf4;0.08547345589753286;0.27876631349367775
C15orf59;0.29076912781458353;-0.0631939324385033
C18orf19;0.5102465495124995;0.10572229428993285
CACYBP;0.7337492378880872;-0.07221313995217783
CEL;0.32567860156417827;-0.04545690455685503
CETP;0.9018336454475419;-0.007938750762610794
CHADL;0.003369083369808775;-0.2070348567749166
CLIC2;0.9830341537028868;-0.0022009404589638146
CRTAC1;0.8762590098562176;0.006400966679116995
DACH1;0.7047648712928869;-0.02447579256368788
EPS15;0.36801413062475896;0.20744378748853007
FAHD1;0.5187157900542612;0.11595156069228746
FAM45A;0.18484165017632648;0.24744451683319374
FAM46A;0.11507716106320283;0.1526477012978691
FARS2;0.6017454228581401;0.10435226969158318
FOXO1;0.06896978529268412;0.23067275339827406
FRMD6;0.012607653548879051;0.2811952183785531
FZD10;0.11228427973482887;0.09108644704123188
FZD5;0.24607961458254823;0.12716243394550714
GPR109B;0.3264327590118351;0.05724607836556562
GTDC1;0.09979504585744536;0.2853180524499079
HEMK1;0.32907949784388635;0.19908041675149932
HSP90B1;0.00943017629499336;-0.47935569315040694
IL9R;0.06855376206091732;-0.13354956941572282
ISM2;0.9945908784369594;0.0003746704368284423
KCNK5;0.08862928883567518;0.1099440661899806
KRT12;0.04383284034295688;-0.11095510404797665
KRT34;0.07973844572497067;-0.10441887162359685
KRT37;0.1749969721041813;0.12239921363082809
KRT40;0.36245675717647163;0.061974750923029176
KSR2;0.2517925024433798;0.06648412147314092
MAMSTR;0.5488427057790632;-0.05350796367790179
MAN2B1;0.6152942215129757;-0.09115276048587599
MCEE;0.07880025247711009;-0.32665529699410323
MFSD6;0.703663634103126;0.04830004408542344
MFSD6L;0.474405148309345;0.04195056469092597
MMD;0.4629854185823943;0.08663986816400873
MST1R;0.7674350561596551;0.018012714966341888
NCRNA00174;0.8502961207204024;-0.022220604288443697
NEFL;0.6434289091261811;-0.01609537657130421
NSUN3;0.26272166281766174;0.23043996119838123
NT5DC2;0.181900416376641;-0.14714018399234613
PDHX;0.0793681901779212;0.3328500520330851
PTX3;0.1574181905772848;-0.0748655005442231
PXMP2;0.16769573056037868;0.18835506827698184
RSPH1;0.7598168268285066;0.020676363677265188
SCUBE2;0.07441279815510979;-0.08537050630698964
SGK2;0.9331095097735478;0.004857878637525799
SLC25A5;0.5002776185347848;0.11587404543323811
SLC36A2;0.10453142666003834;-0.1368735641051032
SLITRK6;0.28996557602146733;0.04477720531773647
SNHG3.RCC1;0.036339861081876215;-0.13804763851130641
SOCS1;0.2375761221750775;-0.10733142809868994
STARD13;0.02629944200784969;-0.26800147976265204
SYCE2;0.158648755805048;0.1180537075613119
TCN2;0.6978752133647024;-0.041614187204235945
TGFBR1;0.312447170447657;-0.14224976914942103
TM7SF2;0.8511503592138133;-0.01881946155225049
TMEM189.UBE2V1;0.5162556234891401;0.024936597296770457
TMEM70;0.673187676398517;-0.07907387685533857
TMEM81;0.744360829025126;-0.05058108579733033
TNFSF9;0.9810960468140454;-0.0014936328186639924
TPD52;0.25160080267083973;0.11597788049793992
TTLL10;0.6345150585438292;0.03198429344934796
YBX2;0.006967282437779439;-0.12320469997101235
ACCN2;0.8170870634517506;0.016862645049194155
ADPRHL1;0.44345478024299656;0.053181717394724624
ADRA1A;0.7355707695005219;0.02109659097314901
BCAS1;0.24006997154877385;-0.05969353584675899
BCKDHB;0.5363127951419797;-0.08308584088080168
BCL2L14;0.004228415051609857;-0.1996908419480113
BRD3;0.49060640082595763;-0.14922514307478438
C19orf50;0.8489586273593746;0.057134765569831304
C20orf27;0.31517050045032824;-0.17813372575379252
C21orf125;0.9146846531982082;0.006285949132086668
C6orf165;0.3859129242126845;0.06384949891841478
C9orf21;0.7328309507550761;-0.054321911581458306
C9orf98;0.6446604352174988;-0.03378531045190724
CARD6;0.6248005228998513;0.0537528413489924
CATSPER3;0.9477664611771041;0.0060761868695806
CATSPERG;0.9824123006458764;0.001850819294528127
CBL;0.9444840506292453;0.013531967977863737
CCNI2;0.3122704964869035;0.06447400777250685
CNTLN;0.717266223625419;0.036071278482273046
CST1;0.1787340421044734;-0.03913040709283739
CTNNB1;0.04287254934268494;0.3683370551391859
CYP4Z2P;0.18823785390183911;-0.08896662497959155
DCXR;0.08514543153380454;0.26889009803659014
DUSP6;0.7838011747347066;0.027318766328211473
EGLN3;0.13237764997817011;-0.09051059976040043
EPB41L1;0.44616726553405095;0.07318681966875884
EXT1;0.9800514924321189;-0.00394989486419106
FBXO24;0.21055209613538073;0.1375175246721259
FGF14;0.918983685485391;-0.006024606761222975
FOXD2;0.3171830040814724;0.07964943328892314
FOXJ1;0.32952615177423916;0.039177839749898184
FUS;0.7529163280536334;0.07194219223400417
GALNT10;0.34280952440630785;0.12396030948672675
GLS;0.6750589946322567;0.057335731676530555
GNPAT;0.41943420898423023;-0.18587303422202406
GPR155;0.8254175318047495;0.022168561144068358
GSK3A;0.442900237144386;-0.1653942670440551
HOXD1;0.46593124110845496;-0.03478209847515093
IFI35;0.6044944214504826;0.0718777978321819
KRT32;0.4026750661055015;-0.05936403233114797
LOC150197;0.5823303826761681;0.037521067825147615
LOC90834;0.18044820787084292;-0.15645437871106618
MAP4K2;0.050371252400345234;0.29199937628450967
MRPL22;0.8641911304888921;-0.042515384898496496
MUC6;0.012597118003986134;-0.0937432767700067
MYBL1;0.29823773625904426;0.1122420218099143
NDUFV3;0.38063497260914914;0.16483262445057362
NECAB2;0.12763582420412198;0.07456396255410974
NKIRAS2;0.996865637235657;-0.0009552731990230109
NME4;0.3846255554791752;-0.12477815246469733
NOTUM;0.8192543425289924;0.010412698464766282
NT5M;0.18499909965861894;-0.1300209883247702
OBSL1;0.1962710243534963;-0.12138797813171623
PAK6;0.9916866714649161;-0.0006540750787712139
PAQR7;0.734467694535139;-0.04072431680114007
PENK;0.88620060382545;-0.00601830729780511
PNPLA4;0.37094577697333586;0.10437433125057986
REL;0.23855745099986414;-0.14110435240055247
RNF5;0.446258686668223;0.1380947979969145
RORA;0.04321754363757376;0.23050623909942775
RPS27L;0.7727447260455422;-0.04817547254958564
SERPINB7;0.004473297206922431;-0.13136789411428268
SIM2;0.8374202561809754;-0.013423237820041895
SLC25A42;0.04362460016693852;-0.2841837233715784
SOSTDC1;0.5916410270800576;-0.020332173682292853
ST18;0.7897892533401254;0.01511270716029701
STAG2;0.42786044319435346;0.1547005062532585
TMC1;0.7720870574617404;0.02115493699010104
TSPAN14;0.13411341567805196;0.2527629110507842
UBAC1;0.0488933810696209;0.5074767044341896
UPP2;0.03534174536157298;0.13700932281286513
UQCRH;0.44660303266799695;0.1408691562674642
VPS18;0.8286302625062614;-0.04458726698305388
WDR64;0.5932084092472197;0.045675506107059255
YWHAH;0.5709581929942755;-0.10949917111104013
ZDHHC1;0.9329106343686977;0.008431730977168391
ZMYM3;0.08313708163644139;0.3780747007486469
ZNF134;0.1383598058280825;0.18095021397032598
ZNF485;0.9544344559133813;0.007818359417021265
ABCG4;0.7471547552973821;0.025884829455578625
ALG1L;0.9261486045837326;-0.005534277777966209
AMIGO2;0.5548436243950343;0.04263834786304033
ART5;0.0016195380553155575;-0.1938782336357541
ARTN;0.6931769883314114;-0.02992047263826442
ATP8A1;0.5953052725126613;0.04285223759981384
BIRC3;0.5769391821477916;0.048547624035645186
BRD9;0.5358053363882275;-0.11327641069517783
C11orf16;0.2632488976865047;-0.08536610947483976
C17orf57;0.6964860341047294;-0.03853324114144617
C1orf54;0.934818241106991;-0.01182067753753915
C20orf195;0.12418897365754908;0.10619194883076487
C2CD4C;0.4606104349044784;0.04872614477824578
C2orf24;0.5909326988105286;-0.13034811093092685
C3orf39;0.5743600300323851;0.0877634969849691
C6orf176;0.14928445180864952;0.07339052219743822
C7orf52;0.09114580980842589;0.09440062465335634
CCDC88B;0.5197109002076228;0.07912316355269541
CDH11;0.24802382049964633;0.11544198134296764
CHRD;0.602067289878323;0.04095262311983467
CNTD1;0.15040099834455448;-0.1865393370558503
CXCL14;0.66292328811566;0.017812809896802784
DAB1;0.39091715941325844;0.042962409115280785
DBNL;0.5879085210644202;0.12019270259739735
DDX25;0.8486735574894884;0.010406046735622447
DIRC2;0.31818444621006037;0.17444426766153062
DISP1;0.8922694142481253;0.01608480021952134
EPB41L4B;0.28145121083345703;-0.07746207925398162
ERCC4;0.014588380528869236;-0.5002069421286797
ERVFRDE1;0.1847461954840176;0.06849658726753063
FCHSD1;0.6141615290303081;0.06459808196426534
FECH;0.7429765504002541;0.05047594774666311
FKBP11;0.6880499643508942;0.04423988049253197
FXYD7;0.6831518688305064;-0.02430209719931912
GABRD;0.13638944550401205;0.10526023790716289
GATA4;0.26819129189340507;-0.04125175290859069
KLHL38;0.055142501743599574;-0.1334527451966811
LAYN;0.9117431913397926;0.010062922750645279
LOC440925;0.03360437303822367;-0.1226325346767296
LRRC39;0.018518819856600813;0.16970738687298884
MARK1;0.046971586677947326;-0.14565928191516925
MED12L;0.4413694146624524;0.04969220868850803
MSLN;0.3497670429263324;-0.03869277168882178
MT1G;0.24145758603208456;-0.049194831688643005
NAMPT;0.19283275049316806;0.1595684236416318
NEUROD1;0.05938523191131001;-0.14814934824561754
NMUR1;0.26951236114256283;0.08061770915541348
NOX1;0.8518992744367851;-0.0091309726101841
NR2F2;0.09450720144382813;0.19049108307188525
OAT;0.06707586806575748;-0.15282462456107432
OXT;0.6645046205590296;0.026813062765650004
PADI4;0.37334464792600197;0.05704367689687267
PDE6D;0.5676408729356408;-0.11465242913356581
PDGFRA;0.22853964350786327;-0.09479185294086755
PHF15;0.17467410152978569;-0.17193909202398003
PRF1;0.10209028854830308;-0.14606149626655096
PSCA;0.9090341119019063;0.004365356260708909
RABGGTB;0.2172960953969667;0.24137540178457226
RANBP10;0.008828952907282795;0.5008339452811104
RGS1;0.8381965122690351;0.013362250644933384
RNF130;0.472037970590516;0.11334425908095648
RPLP2;0.005060863105652514;0.5134649003074255
RTP1;0.022855566593867036;0.16712707358712667
SERPINI2;0.6728145260655662;-0.026876334332946658
SFMBT2;0.3924173874162602;-0.07778787111883811
SIK1;0.09906528388148829;0.15640062623262496
SLC17A7;0.23516961376905032;0.07502709918027783
SMOC1;0.6709765122745441;0.018251728875505836
SPAG1;0.01833989752679377;0.24716119507880166
SPRR1B;0.020057307158626324;-0.10620076005888296
ST3GAL4;0.908725798759966;0.011799990972393802
STRC;0.5997240442200371;0.04024193283748607
STS;0.6257979090386971;-0.05227802693707905
SYT15;0.8435820538912461;0.017428326104565052
TBX5;0.9050910691579014;-0.005423930175495239
THAP8;0.8352862251833371;0.03632931033341215
TMEM120A;0.021903336229365526;-0.4422847418243517
TMEM150C;0.134910789566568;-0.1363427065795463
TMEM190;0.3147911952421102;0.07425101358269852
TRERF1;0.045707218511139444;0.20360533134091016
UMODL1;0.3295901165458456;0.058431777177253084
ZHX3;0.06172671205590744;0.31001969893798303
ZNF323;0.7197901638813409;-0.034803555756224715
ABHD1;0.5163249483537359;0.04845109402801735
ARIH2;0.7866974302384089;0.07484917811432612
BCL8;0.8153864678169345;-0.010973285160024195
BEST3;0.6392165550429785;0.027106067269941855
C13orf29;0.5598551203291635;-0.04336756844805601
C17orf69;0.7987025440356178;-0.024622705604112744
C2orf40;0.5579409062505536;0.03266861727707922
C4orf6;0.13304830585392716;0.0907275241256908
C9orf23;0.319987747550587;0.14625828880801076
CACNA2D4;0.3721827601679021;-0.07881318335816206
CACNG6;0.15553654287022767;-0.0781717696822892
CCDC146;0.6104860342301324;-0.05177911866167958
CEP63;0.1492852486222698;-0.32948170094105755
CHAT;0.9584507823782195;0.004041975717332584
CHIA;0.39257520358581977;-0.06306432758082177
CLCN2;0.1741057872065942;0.1658257915386381
CLDN10;0.274655779352616;0.04283868346294095
CLPB;0.17124617987674673;-0.21219345744850826
CYP27A1;0.023723346112284695;-0.19196060730714504
DBN1;0.616525318671648;-0.06300861739300108
DEF6;0.6003945932233878;0.06730108780383681
DKFZp761E198;0.5224492985321791;0.10623030572430535
DNAJB4;0.02067628941400004;-0.29603500908636743
DTNBP1;0.9603850382645509;0.008969262617394438
EIF3B;0.9204178725709341;0.021097775216656792
ELFN2;0.20884051303272988;0.05387436930079777
FAM118B;0.6527012033788138;0.08437444352036277
FAM125B;0.013987442812656011;-0.2842116686145065
FAM19A3;0.4490412775684668;0.04813776554200631
FER1L4;0.4784800012256738;0.04344909743583584
FLJ45244;0.3873772562363611;0.11394820838663884
FLNB;0.9052733224143978;-0.014245940778793405
FOXA1;0.39032386508764305;0.048255644548557276
H2AFJ;0.1655828231443195;-0.14614344495760687
IL2RB;0.583439597268673;-0.05536287558708795
ITGB3BP;0.667292420147293;0.07539522714476904
KDM6A;0.37304311973124515;-0.14226890505928397
KRTAP5.8;0.6305501049250211;0.03720052188192295
LQK1;0.8690410408347184;-0.01052307996000707
LSM11;0.4691320975430432;0.13020362353780127
MDH1;0.7220412141138031;0.07666848660167828
MFSD2A;0.14081051760956118;0.08982774173164393
MYL3;0.39896261808263533;-0.05461725410709905
MYO1E;0.24427022661082298;-0.15008774674341674
OMD;0.7532669762114539;-0.017535047812564757
OSM;0.6746780203267073;0.028257269521225665
