genes;pvalue;coef
ATP6V1C1;0.9168027574850539;-0.06328292184833494
CAP2;0.08462272093587121;-0.5345203609309513
DHRS9;0.30994782822621425;-0.1797829138232653
FFAR3;0.7499254481490978;-0.08098843540548768
GAGE2E;0.2546899680848296;-0.3825599991868564
GDPD3;0.15752735383772176;-0.43073766093680954
GPR75;0.5955189950523485;0.2042713074099747
MYH10;0.7028501600297424;-0.22281520397042523
MYO3B;0.5730696840917723;0.08495951420208368
NLRP6;0.06036334937249575;0.5476612605888804
PAX2;0.05297271512033897;0.5859339582921294
TACO1;0.20795909579547478;-1.1469908694567343
TBC1D8;0.08254735972250013;-0.7474539415042288
TNNI1;0.041045335050172285;-0.6386850030575474
VPS18;0.012709049491310777;-2.1008545860783263
CCRN4L;0.29140016916443134;0.5349350426494541
CHL1;0.5431251044663745;0.08748856163720589
DBC1;0.061843874925923026;-0.31695438977292567
DCST2;0.08798346999993795;0.5967469790298207
DNAJB4;0.9777893529318167;-0.015402014687348243
FGFR1;0.1138441347184689;0.7968783715903793
LRRC69;0.02721884096714761;-0.5005460010753333
PNMA5;0.10393950304307609;0.1648656586344231
PPFIBP2;0.3095097845729443;-0.44200743703163986
PRSS3;0.40235650044054605;-0.10502785606725891
RASGRF1;0.5061660194035384;-0.1427366273346922
RPL10;0.0127532676707412;1.8586245620570743
SNCG;0.7775281219174568;0.074383867537774
SNUPN;0.008133186447457464;-2.0721400616682697
ABHD11;0.013161492910981782;1.2243396501962158
ACAT2;0.09536573657615882;1.001810360498662
ALDH1L1;0.0024953569165393555;-0.5631986408714279
BACE1;0.0001232729095504388;2.56953363757537
CA14;0.5056738109342533;-0.21214494205872497
CDH26;0.027608496675826568;0.4529130827803228
FAM19A4;0.7475430462566182;-0.10680144468744672
FOXRED2;0.7741742134226652;0.15045303894173215
GFI1B;0.9686309651331246;0.009975395670559061
GPR62;0.032232780854336916;-0.6080541083886558
MTERF;0.32553965440396937;-0.9593093893232063
NELL2;0.013643212976908911;-0.535541758044272
PLA2G2F;0.6815154127298123;-0.0805435561246902
TRAPPC2L;0.7148069194360704;0.27848100285205707
ZNF83;0.3098594435972134;-0.5683731014660123
CLIC3;0.09391694587699656;-0.3634771065848462
FNDC3B;0.3766180132538546;0.640573730014912
GJC1;0.7046700720513599;0.14948829892333848
GPT2;0.05766391027433211;-0.8148580004261603
LOC150197;0.9193659392820517;-0.026637147270433793
MC1R;0.32973070523538284;-0.35594240314066417
NAP1L2;0.23139380893385297;-0.26666252208855484
PGAP3;0.4821691262929986;-0.3256347875636031
RP9P;0.0424033855990057;1.3683069576242868
ADIPOR2;0.20225162452228218;1.0244336210094822
CCDC134;0.14958669662720422;-0.633712256568618
CD207;0.2773557051186062;0.17012042999513885
CD38;0.2777237250246217;-0.29704144134626587
FAM160B1;0.8695496478364876;-0.13094519167550617
FAM20C;0.11303305308838005;-0.6517320787024915
FLJ45244;0.4585402343337919;0.3101817677816243
LCN15;0.46409643955825985;0.12806082638251554
LLPH;0.6293923527268868;-0.2724624650856605
RXFP1;0.026020001481470875;-0.4470089905963663
USP31;0.809563459055997;-0.11635550276336637
ZNF541;0.9014806028804777;-0.02419397663204042
APEH;0.010775536747809476;-2.026840466235088
BMP5;0.3855697479905482;0.17523420524738872
C19orf36;0.11241074482882374;-0.5258496200243122
C5orf49;0.9477716477650484;-0.014328563060841504
C8orf48;0.41395249206890916;-0.19668338044261002
GPRC5D;0.3744092592811443;-0.19367405751681974
IQUB;0.07032407107768357;-0.5489449216509955
LOC388387;0.8051286661278605;-0.07898626986453437
RAB33A;0.43003068241664844;0.2999427203794991
SCARB1;0.7831549504048194;-0.10571609663091454
SCMH1;0.009656827452024978;-1.262343179266661
TCF7L2;0.14755581689552139;-0.7901070744114511
UBE2J1;0.26628857288115293;0.977788015129539
CCDC102B;0.9641188642756278;0.019769063005643857
CELF4;0.5777345907573102;0.11318510396901937
DDX6;0.3675025988492231;0.813763761673387
DERL2;0.7227906560181365;0.24003842183861934
HIST2H2AA3;0.6878909327032334;-0.10329998477806315
OCLN;0.31538762661718434;0.3561483077341751
SORT1;0.46510864034240573;-0.31567542428269524
UCN2;0.8090061392444408;0.04753352811902961
APOC1;0.7143441275825506;-0.10102052029128199
APOO;0.04645254376660629;1.332309993057751
ATP8A1;0.4825071455172618;0.20179417326278093
CHD2;0.17166593644377748;1.3694642748077044
CLTC;0.492852164038726;-0.5379169019496021
FOXP1;0.0006864566286156119;-2.1327331476695837
KARS;0.8006352612264513;0.18716841668402145
KRT27;0.05774401113265067;-0.46355551825397345
LINGO2;0.4237214019923877;-0.14915243018559818
LOC90834;0.09718826985196874;-0.7544156733801344
MAML3;0.3494998511794921;-0.39745033790559786
PDZD11;0.40662541834361776;-0.6361511532468961
TDRD3;0.5243190373417608;0.4081342144137123
C7orf50;0.04371847407231939;-1.3096873963922244
CDYL2;0.6575426303831162;-0.10578794661563284
DEGS1;0.5334325341685913;0.2814424800084376
DPY19L2P2;0.38395829650917734;-0.20821133534908967
EGFL8;0.6158952658875765;-0.23658892861946226
EGR3;0.501109711816393;-0.16081896414734434
GATA4;0.14227204785557382;-0.21515903923658267
LRRC10;0.7703440694203494;0.08690298882620098
PLEKHH3;0.4266814595429058;0.43797065632228555
PWWP2B;0.3604988609841405;-0.5503996895785215
KLHL3;0.7520344810783514;0.10980244047220791
KRT35;0.9385498794260522;-0.04054181010208077
LPGAT1;0.8288298338100581;0.14683689114723933
MAPKAPK2;0.46364023094412077;-0.6677421677146914
MTMR4;0.15721216809969424;-0.9093117551789034
NUCB1;0.15652478599153305;-1.083143957414803
RAB3B;0.5421969320064357;0.1214118941379652
RNF165;0.0983596083367277;0.3237066626628848
TMEM190;0.08519691931942706;0.415254457378354
TTC9;0.39561511553203277;-0.2575280458699327
CECR7;0.10445822720300711;-0.20333141050693046
GPR63;0.4615539203783464;-0.20142025409253853
NLK;0.049884105467895776;-1.224913463250101
NR2F2;0.7221847685840543;0.13461376380709145
CCDC48;0.9823680471365162;0.006724334543873339
CRYL1;0.6751909512345595;-0.15361693365394566
GRB14;0.7976819248178517;0.044681925460102155
MEIS1;0.07409727235483297;0.7535542784617772
NME6;0.5859606354494156;0.37756038125673536
SLC4A5;0.860194980928195;-0.08839742467893776
SYT7;0.9767317977397324;-0.006370102942048509
TLR2;0.22466596102491132;0.435511292035334
UGT2B28;0.4503493410284055;-0.1543701151958535
ZNF511;0.571941795866078;0.4216794619436467
ACOT11;0.04158115997477642;-0.6871448599402002
ADAMTS8;0.3163152460799803;0.22811771171924397
AGPAT6;0.3326432755483577;-0.5702551905715435
CMTM3;0.6609685535843579;0.20608070835507064
PRR5.ARHGAP8;0.3955523556382883;0.19379256279429266
PSTK;0.7408297302988248;-0.173367273358066
SCG2;0.9562364084430078;0.011289635499604815
SKA2;0.711531345915574;-0.21708682027284298
THSD4;0.05974686847385582;0.6502007566613119
AGAP3;0.3042677920895004;0.7464483218165244
ARHGEF4;0.47897715533904817;0.13683139931905783
CATSPER2;0.2958095197535776;-0.43598723974318326
CLLU1;0.4132184932155212;0.20097542710641
INSM1;0.880005632573813;-0.03380350622715412
LYRM4;0.21056819351826883;-0.899171388184762
QRFPR;0.9889455403871669;-0.0021882335655469543
RNF150;0.041316871067218666;0.5958752158309679
SLAMF9;0.5203792315503983;0.1209022929392562
SLC34A3;0.003313405245437026;-0.7963321713678617
SOX12;0.36411959018783413;-0.3675013868014938
AIP;0.049292681278869606;-1.6415660011147968
DCLK3;0.33047955810247875;-0.2343556621423887
FAM96A;0.008451200624955187;2.7040416362490562
FOXR2;0.79731047612897;0.1265827069033492
g728603;0.5242285865851098;-0.6781643240229529
HDHD3;0.15055452886080833;0.9308623604551867
LATS1;0.3188588289833527;0.6221220433249098
NT5M;0.9197871955650253;0.02541534949017069
RNF43;0.22087000594485529;-0.2524335578629636
SCXB;0.8477820204653442;-0.05563948885697156
ARHGAP42;0.8044010687874223;0.09068580593829213
ATG3;0.62290354913269;0.42244230019541246
C11orf46;0.17516939061971504;1.0422660050427963
C9orf170;0.156380606420857;-0.39058520353339593
CP;0.6675893242858477;-0.05942063238268714
ENPP6;0.6038064455139679;0.09927656185955856
FER1L4;0.2680375303011181;0.36913065075374124
GEM;0.06535591426487944;0.6871057619616106
IL6ST;0.8679417960748956;0.06363324367791798
MRPL10;0.5034876467013965;0.6122021051453134
RNF180;0.9300500367917289;0.029087828933667403
SNTB1;0.9926033020556801;-0.003231297164008781
SPNS2;0.004542703918610615;-0.9397478921249032
TRIM8;0.3022588441528311;0.7524258789519572
UXS1;0.644168748638433;0.2982240625183991
WBSCR28;0.511234410626625;0.12429877090462534
WDR66;0.37050954465786;-0.1705975286622208
ANKRD2;0.803170609123085;0.04489095246751117
AREG;0.5677947087250068;-0.1145250379597329
BCAT2;0.26689487028244974;-0.4914236046835197
C14orf166;0.12269546388180728;1.7632805471508348
CCDC112;0.3368860324902515;-0.48346357006671276
CCDC15;0.40519416652948426;0.41043310085683576
GAPT;0.36123096414686673;-0.3226153274859492
GGCX;0.18395257513774677;-1.0031281855072567
HIF1A;0.10140459865914979;-0.9796743230591383
LAMA5;0.14288819952867213;0.800980697272034
MPL;0.1693047690747237;-0.5657782847457473
RLN2;0.6248372102515126;-0.11305654126939749
SATB2;0.1485072338807213;0.500116039584317
STARD5;0.3985170164804396;-0.3449731493536558
ARHGAP18;0.30139251829113656;0.6760160905418025
COL23A1;0.054540070394727365;0.5246070704286144
DBN1;0.20602110150940534;-0.5729635449712347
DIP2C;0.9143877018170748;-0.04411396282501247
ENC1;0.054091031339948005;-0.9326230851953689
ICAM3;0.019268163231763842;-1.5150927377150465
NLRP10;0.1445299264167425;-0.4002105618003389
PEX7;0.7937032117642282;-0.14644039038855783
PROS1;0.07356076900951468;-0.6550025654944249
SYT12;0.9182446324930804;0.019951419100189383
ZNF518A;0.1090980649172525;1.0500741396888424
AICDA;0.38237639642070254;0.22891955932258712
CBX8;0.6477998019611969;-0.27384543267710426
CHCHD1;0.7894270470802446;-0.17046674026034495
FAM40B;0.5905776581814717;-0.16345174877109833
OS9;0.38133674862509126;-0.6202060301925993
PIGZ;0.5570767011213036;0.17124665017264878
