genes;pvalue;coef
AGAP7;0.8554777282144693;-0.0613773941638932
LOC146336;0.89063995783608;-0.016522649449851684
NMNAT3;0.6877042710415502;0.10971389139970304
PLA2G4D;0.8310361626430299;-0.07206291586349034
PRSS23;0.3865252277860163;-0.3297023858242673
RAI2;0.4724282827696269;0.24493380743448612
RUNX1;0.6809981860983253;0.16953114163864444
SV2C;0.10017934168182052;-0.6394133220794009
TAC1;0.2082716038934167;0.4045386381484455
TAL1;0.31839492591737595;-0.54570056535475
TDRD7;0.6543285322590537;0.246059132822577
C10orf88;0.00020589831187460187;3.091910648182172
CAPNS1;0.3506731217222592;0.8372126748335251
CCDC106;0.7450897402030782;0.1589469573392751
DNAJA1;0.23946805801932713;-0.7859756132718139
FAIM3;0.5860039585026509;-0.26662791247931455
FAM149A;0.1696984306057696;0.44041470344142714
LECT1;0.5000150348290469;0.3312928997296056
MBNL3;0.13395104558957424;-0.5353093779457327
NRBP2;0.00036999009895623557;1.6966337826871607
PRRG1;0.363977540035588;-0.520257339312503
SIGLEC6;0.38189980803197365;-0.3035661513957328
TMEM105;0.7611195877260568;0.042968151350650276
ARL10;0.5997852750273691;0.1481824478773301
CD320;0.09774716823426005;0.9627810450510175
COL7A1;0.022818526306022352;-0.38404595449554335
FBN3;0.2930133487791381;0.15922070253970674
FLJ36000;0.24766979224840668;0.3005802121243979
KIAA1875;0.19002881339204547;0.37921945786091626
KRT37;0.18955905782853233;-2.687262262919719
MINPP1;0.12324516948208573;-0.9974337240001218
TM7SF2;0.49772297030070556;-0.2597289154705076
BCKDHB;0.1455567353824098;-0.6833808471321802
C14orf169;0.7517529099773036;-0.20188337693762204
CMTM3;0.5528332993378702;-0.31156534095170435
FER1L5;0.2438613346573446;-0.3090523023067948
KLHL38;0.6056388376264704;-0.1117020442354482
QSOX2;0.8962671981698586;-0.07560291771836593
RPS6KA4;0.06699572689949282;1.6168899389865765
SCMH1;0.9680607402868434;-0.024832687577322096
SEPT9;0.9867546857482343;-0.012475185904761932
SFRP1;0.37499844811595495;-0.20968689583289354
UBE2QL1;0.4453312292980399;-0.11118268815777584
ZNFX1;0.5659867709223378;-0.3935938868571788
ANKRD23;0.066038877314436;-0.9937234639054184
C1QTNF6;0.42343352734102935;0.29801775503928996
CCDC163P;0.9938694321250597;0.002331116619444436
CDC16;0.12832810701398473;-1.0453986589486923
CYP2F1;0.5825579505014123;-0.21786220780169233
GPR172B;0.03390734102381666;0.6120196497564991
GPR35;0.23856082252945865;-0.2034854166327509
HEXA;0.16876999378235258;-0.9480595836070211
LGR6;0.6999485415111721;-0.06324918156724219
LRRC8A;0.9521799280251044;0.03722401578981157
MGST3;0.5196577787244538;-0.44862182954020347
OCLN;0.13965110419488388;-0.6663873207328626
SMYD3;0.48712060570969373;-0.29702650673092956
SNORD1C;0.7302529282721766;0.11186569842982334
SUN3;0.03599967842270848;0.6235746715319723
AG2;0.10683211708682605;0.6057298794992216
B2M;0.24456818265831337;-0.6301270864489059
CHRNA4;0.3459422017951267;0.08067963213310492
POLQ;0.7053487922262438;-0.1251892034249986
PPP1R3B;0.43650097699502866;-0.2459538878973437
SHB;0.8681267113239173;0.07883541631239863
SHISA5;0.8615444410771046;0.11174245279920206
ASPH;0.26073206468488497;0.44256653832754456
DIXDC1;0.8476741083036294;0.0685073877278866
FBXO22;0.3556554847629121;-0.5991693168804187
GNAS;0.12253740351766157;-0.7241007514222293
HBA1;0.9097978141366933;0.011216715936886874
LMX1B;0.3443878579725873;-0.18461996946402148
MTSS1L;0.6695527791517155;-0.20798244610764602
MYBL1;0.6464349848717738;0.1978176146178398
P2RX1;0.9003593578281476;-0.03726699777262486
PLEKHA9;0.5913712037938204;-0.3199498581473852
TMEM169;0.6434824861800383;0.18640615965658947
ZNF648;0.949350656369492;0.012244428615158228
CCDC8;0.9270830338876711;0.03277563759568575
ID1;0.6969026123409743;-0.10865215301716584
PAGE1;0.8596313045993254;0.023963624523207477
PAQR7;0.2818201396754577;-0.43559772035615396
PTK6;0.7063115637375259;0.06076744118194174
SDHC;0.4290946248304135;-0.6580876825517001
SLC35C1;0.23033664925760378;-0.5510917022417328
TRPV1;0.045199712564407336;-1.0328462658201756
ABCC6P2;0.9210982007758486;-0.04052464372798133
ALG14;0.25728559512809945;0.7168159700087924
CNTNAP5;0.5229491975640461;0.22551517153942519
ETNK1;0.7005489789857802;-0.2458465657494396
FLJ23867;0.19339571338381645;-0.34863166094883574
GLRB;0.6960562333040359;-0.04492800004875222
IQSEC3;0.7621570470125518;0.0657680214461716
LOC728758;0.026089171458876514;1.1864475716390996
PHF17;0.924908246514987;0.0624246151133291
PTX3;0.5485957332583364;0.13068992705545235
TAAR1;0.09810462751722589;0.721050555013611
TCF3;0.2736286894003297;0.9301515148469471
TFB1M;0.4815446104297848;-0.3797071330494805
ZNF319;0.08353445652056307;1.3066321036817647
MBL1P;0.06417413038449789;0.2944081030051302
MRPL22;0.6808062978179477;-0.3300407566195923
SNX10;0.8582792911059066;0.04957293888396308
ACSL6;0.7047491803373604;-0.07803769767349883
AIFM3;0.10174877851970124;-0.41228651567259433
ATP8B3;0.0396381668464091;-0.6224122551958694
C22orf36;0.03815020728578845;1.08930088776863
CHAT;0.999637730748819;-23.515974073720393
EIF3I;0.7002747610929098;-0.31499790307041653
EPHA8;0.8399719251425559;-0.09196378218049171
FETUB;0.10877753859279823;-0.33380826463087854
GRK4;0.8064822074026846;0.15195791048855203
MCEE;0.009385282215422956;-1.909798352622292
MPRIP;0.003936365599726644;-2.119377284969772
PAPL;0.31076663375837155;0.34512874232826013
PAX7;0.031181040503892615;-1.7897839370415491
PEX5L;0.604922708908509;0.18645530870335017
PIP4K2C;0.07576364261286012;-1.5855223881687073
psiTPTE22;0.8621302207634695;0.04679506833744843
PTPN6;0.39656138938895946;-0.7797981123812603
SIRPA;0.8441960597742401;-0.08596266154960841
SRGAP3;0.24838951424823497;0.33835009225043794
ZDHHC23;0.07303701361394757;-0.9339405649953072
CACYBP;0.16776997217450917;1.017158205446013
CD28;0.35441813948937084;0.32261496307452786
FAM55A;0.16673024262164016;1.6187818878462858
LFNG;0.024900820674570386;-0.8748701547227112
LOC100128675;0.15947785079745558;-0.4441443414002716
PHF1;0.8099679561379928;-0.17520345373090104
PLA2R1;0.7146523494193459;-0.09845759619461529
TTC7A;0.010734728222991015;-1.2658315970803855
CDH2;0.05238728840765213;-0.7390986258661739
DPYD;0.21949914369732626;0.36649656264424707
DRD1;0.0634701869753442;0.3798831167833647
KRT12;0.8077641520619756;-0.03915769145557938
LOC168474;0.9790988172794548;-0.007596447794141252
NPAS3;0.5019024724206914;0.1562595757163732
PKDREJ;0.12239070923030818;0.4119918897409856
RHOBTB1;0.5771255643966309;0.13415044346180577
SFRP2;0.70597986492031;-0.04862286283355769
TMEM54;0.640456871867966;-0.10370216740112637
ABCG2;0.780380393972407;-0.06872480484111057
AKR1B1;0.7457623506433482;0.07772382179813989
C10orf125;0.7911975790235473;0.12570111147846183
CD24;0.7693118592986246;-0.04626372548584047
ENOX2;0.500490331449054;0.3470083245674005
LOC644165;0.7024876772308;0.08697154058884526
ABHD6;0.5190691073754157;0.3513802912401492
C10orf91;0.3809981007577459;-0.18573543767910325
CNPY3;0.2938089496193965;0.5769363021921289
KIAA0146;0.09303617631380223;0.8000907287554938
KRT35;0.8947244246601731;0.18125874871416847
NCOR2;0.787470799120876;-0.20470468551675197
TMX4;0.5922529120511912;-0.24559071809295774
UBE2E1;0.5515438401605245;0.510482966359132
YPEL4;0.47017542313092464;-0.2650050481491367
AIFM1;0.9871819734395222;0.009678763002468449
C7orf26;0.2258463660350427;1.0418892125751946
KCNK2;0.043861162595010224;0.36578252649100423
KRT20;0.6830226700307886;-0.05054665803681851
ME3;0.14550882679833066;0.593637742716907
SERPINA12;0.8158990562207888;0.03095602791071847
TMEM173;0.07913761553824966;-1.31127604171359
TNK2;0.015626327497424642;-1.2672435945790068
TRIM34;0.041165477815304746;0.7275239533952007
TTC32;0.746919494056046;-0.12488932127876326
ZNF784;0.18599918461501952;0.7893388586733983
ZYG11A;0.6602570469776854;0.06283712441804784
ARHGAP20;0.5943933292100263;0.13373985670668298
B3GALTL;0.9606986845361629;0.02325258768833444
CACNA1S;0.29313746787573913;0.25386160144484843
CDK11B;0.3650988036767394;0.5656616366561396
FAM177B;0.16144103435501522;0.3530238626263826
KIAA1614;0.8884777786958776;0.03880549183187039
LOC100133469;0.07206742272706088;-0.22262699582992143
MYL2;0.644030929907049;-0.15811541288806916
PHC2;0.6140293836860713;0.3777219819335022
STX10;0.2673440638402077;0.7790022171332588
TMEM150C;0.4483386207969432;-0.3052749445313453
TMEM25;0.08358383711007411;-0.4132148134995959
C20orf166;0.1925923025064863;-0.9004618968323863
CGB2;0.11473370826494528;1.2972388033425886
H1FX;0.020522133247836742;-1.1430260316396492
KCNIP3;0.8812889861326355;-0.025036277266473367
MMP17;0.17476057970384107;0.20770617057846955
NLN;0.7036945512007113;-0.1932181652954772
SRA1;0.7474643440975579;0.22364799076619693
TSNAXIP1;0.01589037070643546;0.879984149431679
CDK5RAP1;0.44410210443325326;-0.7394749786662101
DDR2;0.6730013392026539;0.12271969763222086
DRAM2;0.27517524561485707;-0.8318474400586877
FAM131C;0.8846125532901142;0.026170168899124983
FSTL5;0.13457658530387073;-0.21317105649954082
LOC100130776;0.009117753194996851;-1.306338550746676
MOBKL2C;0.011440637391572426;1.8788610827322545
MYL5;0.5906483302884742;0.2599118553587949
NCRNA00202;0.7277890364343225;-0.09101943944564665
RAB26;0.8942024618273801;0.033865870883363854
RGS17;0.29191036361550704;0.31401805473505867
SCCPDH;0.5104611340355149;-0.36789326952557383
TK2;0.8049103411717724;-0.182839809360625
TMEM56;0.8545835107439665;-0.09425102274122517
C4orf27;0.704051831445285;-0.28031083886592795
CCT8;0.4777899146953124;-0.5599801543107407
CDHR1;0.03092445519220086;0.44758556232105223
CXCL16;0.014851548995491938;-0.9990372383750942
H19;0.6009062474438032;0.0647916767827604
RPL10;0.006906954770128659;1.7249888039994048
TGM5;0.7181044311500094;0.24656360556129342
UBASH3B;0.04282089710976892;0.8454430601963137
BCCIP;0.011357855661153922;2.3674357733821214
C11orf17;0.020234598550567116;1.8919614246959482
CXADRP2;0.29992336140513487;-0.33584655901295435
FGFR3;0.26167932482127776;0.4995236684501009
GGT1;0.3574083590660191;0.19943414343113988
GLI1;0.40326811934061024;0.25571800627228275
ITGB1BP3;0.12734051295105758;0.45612020703363654
MMP12;0.08808070169219248;-0.2622954505929952
SMARCD1;0.20209720996235958;-1.2789375162157628
SRPK3;0.7409156407741379;0.06249090916995764
TAF13;0.4372398664980357;-0.3575046773648249
TNFRSF8;0.9256617163450143;-0.03658722181767756
APBA1;0.1108101634761353;-0.4870573907176882
C9orf170;0.13263640201706745;-0.5805582430629592
CAPN2;0.14294682692600244;-0.7853236128881678
CCDC64;0.34177755445824665;-0.2678830553839865
CUTA;0.179628057705139;1.172796331870642
FAM119A;0.35322330872040775;0.7683114231510237
FLRT3;0.30790351021186724;-0.2365841381003638
FOXL2;0.6753540816038706;0.10647022673308149
RARS;0.13809503531407505;-1.3674271207023452
RIMBP3;0.04741495904630382;0.5768943008995903
SLC6A13;0.9485060725290406;0.01829903051188061
SNX33;0.9898137936225837;0.011049641495701238
TFDP3;0.04365604653363519;0.31213763147680174
ZNF174;0.08720321017860198;1.5622429681174956
ZNF280B;0.7500709820188037;-0.07288076924294316
ZNF691;0.002804065513057255;2.691672484280633
ARMC4;0.05540394521646726;-0.426305357498064
ERCC3;0.6743864210231051;-0.4451202981928273
FABP6;0.08279245324870221;0.36186754732784265
FAM22A;0.059389767785813;0.68978820682497
FAM23A;0.07166183115033817;-0.5548386524968504
GSTT1;0.05213732471245726;0.11988079992118396
KCNK5;0.03412439746216629;0.4500700018398686
MSRA;0.812493818102649;0.12908117095946955
NLRP2;0.4698259107151467;0.12942547031114857
SHISA4;0.15250929715591938;-0.4241465611428831
TLL2;0.006435986665424811;0.8166608079577595
TMEM189;0.23964680605098299;0.8892523049747252
UPF0639;0.023514976337484176;-0.8846695097764977
APCDD1;0.06294338457754821;0.3377723170331355
C18orf21;0.6908462731777666;-0.31245329233944613
CFDP1;0.717926087013097;-0.22630160708557592
DCUN1D2;0.10230596017539305;-0.9746619652452995
FAM71E1;0.26594781932207523;-0.3260515339492774
FBXO17;0.6319682736358665;0.2054371778687388
OGFR;0.24464864947633858;-0.8856899225026379
PCSK1;0.5900273027301604;0.10231658671787006
RHOBTB3;0.4558947156029278;0.3653681439784809
STAT2;0.36250781611352667;-0.5598542822191068
SVIP;0.2456372529506684;-0.5824813657498791
TMEM134;0.581646681116496;0.3450738581597567
BMPR1A;0.19103742871071017;0.8376905311973885
CACNG1;0.24312610326198314;0.24824515057250954
NNMT;0.015810441858388022;0.5593136427648827
NODAL;0.9652200316051494;-0.011010018978503141
NUDT6;0.12013678525664227;-0.7135526804194977
SLCO2B1;0.31631699640831734;-0.37300158618815554
TRIAP1;0.4877165628364035;0.5431332884326462
CHD4;0.12906042587153865;-1.2147206334721081
EXOSC1;0.0860110764596415;1.2657487008493746
KLK5;0.22897640979782263;-0.5282347486129763
