genes;pvalue;coef
C14orf34;0.6318104964485214;-0.06592989122170059
C9orf84;0.4743012927619853;-0.14012128956308864
DHTKD1;0.8062517673313823;-0.1252466836494706
DKFZp779M0652;0.13584697293108686;-0.3476975789812938
ERI2;0.0697208776520465;-1.1932775021370057
FSTL3;0.5662399118033212;0.14431108713865928
HMGCS1;0.20345387832713524;-0.4036447941367147
IGSF1;0.25419935388657244;-0.18510065491355188
NPHP1;0.2626869673661728;-0.45028597203822873
PITPNM3;0.6822758592071781;0.08008121662544257
PLAC2;0.24604974989045125;0.1845624761073039
SF3B14;0.6287485433353477;0.3022244397715247
SYT5;0.6416887751677285;0.05624888962926434
ACACB;0.13980232994194336;-0.40832577079087223
ADAMTS8;0.0876459149160045;-0.3110233698403928
C8orf77;0.7129392002320412;-0.11937241007161659
FKBP6;0.6316850747305209;-0.1033304474028077
HSPA2;0.7319682796467677;-0.06806632091557792
IFNAR1;0.0009549020302266489;-2.579006630371125
LPCAT3;0.9273602187812802;0.04317406247155026
MNS1;0.5756532611487729;0.1644715454243965
NDUFB3;0.038589087218910655;1.70381709572634
NTF3;0.5553861378141082;0.1035907695201475
NUAK2;0.062169570783239675;-0.763941709775961
PTP4A1;0.8387389913921808;-0.07541175306026213
RGS11;0.8861663278759743;0.022467600586810334
SLC35C1;0.127760298632963;-0.943519936325823
STXBP5;0.3134159333675709;0.3953004649805059
TRIM16L;0.8982710988139581;0.042749121652612077
WDR65;0.36294693878310136;-0.2469374479104171
ZNF433;0.006286882922160464;0.6748047487378178
ACADM;0.9544542925562641;0.03364419212984921
CAP2;0.1474127916755133;-0.21312424699741236
CYB5R1;0.2542328159455659;-0.8095484458653597
EXT1;0.09480638925021655;-1.2911918933088316
FAM46A;0.7814668214036885;-0.10456434579267579
FAM86C;0.28707097040582596;-0.5259314188182186
FAM96A;0.39795233704299626;-0.6636685417527118
FHIT;0.6644422330762709;0.10940255149320854
GHDC;0.12317521177615667;-1.034108495401698
GJA1;0.05379545670721176;0.7857698480013864
GPR39;0.0976851057248566;0.3805057359257305
H2AFJ;0.21154419335137298;-0.3582659272257964
HCRTR1;0.38146700170468706;0.294023795760929
KLF12;0.3711630594249533;-0.30788147318422965
KLHDC2;0.23652822997698597;-0.9230610545581573
LOC729234;0.013315822312102417;-0.9520277815879987
LRP5L;0.8487653546181888;-0.07768816574403029
MTDH;0.5173706200656969;0.5929413763217765
NOTCH1;0.6778887035625712;-0.24344342309253184
NRP1;0.19983164697467382;-0.7310768208893448
PCDHB18;0.1673366635308705;0.3185696866115002
PECR;0.1694501805763593;0.42036450280245674
