genes;pvalue;coef
C17orf67;0.46894535167904416;-0.3630652453071852
EHD4;0.7533749769181823;0.17838377589296484
GNAS;0.2450385011512205;-0.5277466696572188
KMO;0.6023579774914609;-0.19328827983436736
NAALAD2;0.2191229663717087;0.3609846278719541
PGF;0.1942618685514944;0.3908052582713406
PGPEP1L;0.40134123084479356;-0.3112467050357925
SLC16A9;0.3862473009424393;0.19501573657921223
TG;0.8685223289756752;-0.03244930137645829
FRY;0.8330703125013428;-0.08765818881153384
IL13RA1;0.5479906559930903;0.3751178438098963
KANK4;0.15312050969796298;0.2623796432831522
LOC284900;0.5635597166251969;-0.3297943633441912
OCIAD2;0.5502792884296615;0.29797361376495574
PRDX4;0.3172266702726487;0.6079054123346596
RSU1;0.6348321621812052;-0.3260145481986057
SPDYA;0.5739784767211302;-0.30879493031469396
TAL1;0.33584802659950264;-0.30261775298508076
ZNF384;0.25091802831735255;-0.7306654730633376
LIPA;0.18241517082321812;-0.2181921842778895
ROBO2;0.6838026176261762;-0.08055100994802387
SLC45A1;0.6260032410510311;0.14427106889012725
SPDYC;0.5732589082132749;-0.07980008423654697
TAC1;0.8845206742592202;0.02634831028150256
VEPH1;7.541204747971212e-12;-0.49284549478405193
ARNT;0.4609656639868377;-0.3759908994816482
SHISA2;0.508904454544191;-0.10277636748995929
ZNF555;0.5289443535060314;0.3740513868998465
ZNF784;0.9784572617839935;0.014686021837371003
ACSL6;0.7388560117189706;-0.07111293105789616
DBNL;0.36483638714067423;-0.4743474440870345
FBXL2;0.3001745644801562;0.4321682232511771
TBC1D16;0.5265091276402384;0.32061925637547645
TBX22;0.1497504771819351;0.38401080396643655
TMEM8A;0.5266549953003987;-0.43033630099368614
TPCN1;0.7488155297737;0.20830344469865159
COX4I2;0.5456556485445305;-0.1805776761241079
DNASE2;0.33130268117433814;-0.5286767018329701
ERMAP;0.9705740021549921;-0.018116429167940026
FAM96A;0.6097079284986022;0.34179493889601725
LRRTM2;0.8928376714440176;0.033652216768509234
PALM2;0.4615928334139521;0.19663095883859938
BCAT1;0.7442362653132393;0.06566411126007228
HTR1D;0.7224587071705091;0.07947870685092022
NIPAL4;0.1344482650872167;0.2621752858127258
SNAP29;0.03763771625650377;-0.5075094129148867
BLNK;0.2094491981501485;0.4435459702854465
CCDC13;0.5193953967848801;0.2510302733186847
DACH2;0.8165901148951041;0.04953607467082127
KIAA0319;0.7798405542345541;-0.05875941989998653
LOC645166;0.7282810027143358;0.12166642187811473
LQK1;0.7845066235246848;0.07401992654747622
LRP12;0.7679585591516918;0.11719313450476256
