genes;pvalue;coef
CA5B;0.4991411423145281;0.2577058332383124
DCDC2B;0.9386630593290026;-0.013283659388982271
FIGF;0.5191799768261539;-0.14049314346161715
FKBP1A;0.32940145788870934;0.5102391122289309
GDNF;0.7540279538199957;0.06891185662503276
ID3;0.09406735190558284;-0.48833456322934865
P2RX6;0.23566744993662714;-0.26502343637438497
TNKS1BP1;0.5928338650689529;0.34981879613776584
TOM1;0.2603448310220893;-0.7917857500991773
ACTR3C;0.13435350151789624;-0.568503448587756
ACVR2A;0.1792677307521917;0.8314817493656876
BTN1A1;0.2709699329597691;-0.2905818546566949
CCDC144NL;0.5003235158877836;-0.08966108784806952
CCM2;0.4764314239391141;-0.6159734690626634
CORIN;0.45469387598676747;-0.14195203079859328
CRTAC1;0.579627971881542;0.10711696530897358
GEM;0.07951809025148453;-0.5532406800611315
ITGA3;0.1919944050952055;0.7761133054889966
LLGL2;0.05757764401786248;-1.2234651468758992
LOC731789;0.6034491317876831;0.17904753141610602
LPPR2;0.07095121331357408;1.1107324894289148
MAP3K9;0.9925535021290999;0.003975443754988502
NUMA1;0.7453704089971147;0.2243284686614754
PTTG3P;0.7066492073172059;0.09865574556613055
ZNF837;0.18590173447363156;-0.6860539460944667
AVPR2;0.9577738948959907;-0.017894251580512017
BRCA1;0.27204123885861586;-0.48459591780588734
CCDC153;0.20484597528266812;0.35937170009769587
DNAJC19;0.26547270155001645;-0.9973782818133818
EML1;0.9643672453180092;0.02396531110870085
GALR1;0.9707455758483712;-0.006447151450976964
JAZF1;0.275869775446681;-0.7462027596649431
LMNA;0.4767736344673652;-0.4350227250231906
PDHA1;0.7657896468148198;-0.23672175843964396
PVT1;0.002899765626144371;1.3301154543998877
RAB18;0.458352758242362;0.4433423350215332
SLC25A44;0.3050943110165014;0.8683905135592067
ZNF334;0.6966559835529651;0.07806005032427603
ATRIP;0.87965552805579;0.1124512649975082
C4orf6;0.08988210279478391;-0.3292723960577262
CCDC160;0.438091943735721;-0.20934650219163806
CYTH1;0.07469809258979296;-1.1605655649090625
EMR1;0.03783460799376116;0.5082337012679106
FBXO42;0.5584633367826992;0.5551689152248683
FER1L6;0.46530937060357147;-0.18264207500511692
HLA.DRB6;0.8509865534079755;-0.029459991383944898
KIF5B;0.6733979127021759;0.2371153000630333
LOC440925;0.760701901852978;-0.05916348622865338
LY6K;0.07307485828361819;-0.1766787022036371
NPHS2;0.36378285977230973;-0.48070331472695516
RDH12;0.014524032037522332;0.49466120785453427
RNF165;0.6343415251508085;-0.11919922168987218
SEMA3G;0.7342166630298737;0.1032512516690973
ACER1;0.8863813254257975;-0.024194371151163296
ANGPTL6;0.1920679271620359;-0.3124052455600367
CCDC15;0.6533389039985068;0.15992510277672484
CD74;0.13711290509034507;0.6075461527726788
KIFC3;0.6066920375581006;-0.3477662640050387
QPRT;0.4659821564175163;0.23741684388861928
SIGLEC6;0.884774348974007;0.03079470495917315
SNRPC;0.2579962837831379;-1.3178275591179416
UROD;0.9313629555720628;-0.09104777928616883
USF1;0.9524608696612487;-0.05379543206730783
VKORC1;0.49807713963576017;0.5493838050252422
ABTB2;0.25696184347508;0.29092305333328544
BRD4;0.7129967308167819;-0.2409094141478286
C12orf29;0.13361394164052295;1.0135580076102146
EMB;0.38324423605525204;0.36047901726774323
ENOX2;0.7740461149262806;-0.19704002344420665
HCN1;0.40256125172556445;-0.17177927809066018
LINGO3;0.08133777099399862;-0.2611092859576621
M6PR;0.036316210933593086;-1.415026279954934
RNF125;0.2952218778535186;0.42825299004511563
COL7A1;0.6276099015624996;-0.15573069181560242
GPR12;0.632532648186904;-0.08869268499371218
NT5C3;0.3326291573816874;0.5854282160967965
ORMDL3;0.6660682331224714;-0.24428121104920597
PQLC2;0.6180519595250298;-0.2933012460181912
RALGDS;0.5843057437281627;0.27206821403776815
STRN;0.7866598483008324;-0.12230054983021436
TRIP6;0.7151935665493294;-0.22171254566082776
ARHGEF2;0.5209824599239142;0.45172311267592286
ATP5E;0.15420708899662358;1.1825602646204394
C16orf61;0.12869313472156374;-0.7095243927976503
CCDC28A;0.8535817871903997;0.06755480771402064
CHID1;0.926944055071673;0.07344934428977498
FAM86A;0.7442473481313228;-0.2994191677832358
FLJ44606;0.9758457277650547;0.008297978991321217
KRAS;0.8753964894846779;0.08660377184432887
LEPREL1;0.4620326451410832;0.1295803414685041
NDRG2;0.28890813109591684;-0.4404316323245123
