genes;pvalue;coef
ABL1;0.29185613250702547;-0.3724213265463856
AKAP3;0.26122044903786334;0.2139506203875744
ATP6V1C1;0.6699147942632917;0.16956350365306896
C10orf35;0.6935135182787054;-0.06771200089069404
DDX25;0.9786840189001903;0.0035207969134477633
FXYD4;0.03890958590787729;0.8987125094084486
LOC387647;0.4890389351871355;0.220746343866057
PLSCR4;0.34426190054416284;-0.20668561320350773
PSMD8;0.3083547298212196;-0.4325092407212721
ZNF607;0.00850720852204815;0.8341851484826309
ALDH3A2;0.3537997219218345;-0.2062371118535529
BAG2;0.605666011492932;0.09456421345219074
HEY1;0.7699254438948395;0.05213174200359811
HHEX;0.8586694610706123;-0.048088296806199006
LRRC36;0.5763121304788605;0.08620355668566008
MIAT;0.6652431978946234;0.0618825125679021
ABHD8;0.7996829505648815;-0.10981577901728161
AK1;0.2275493304005608;0.37357334538184384
ATP2B4;0.9440970684773956;-0.020741963954933725
CTDSPL;0.5964167469531949;0.18517252777004642
DLEU1;0.37670606854042454;0.15103087886275124
LPAR3;0.8186476824622897;-0.033816718847410325
MAEA;0.1538007119148389;-0.717075780012286
RDH5;0.22782688801678985;-0.21752598530195083
RFT1;0.71373558654512;-0.21386245117728184
RNF31;0.05573965998407774;0.8990023190443419
SOAT1;0.9179362246105232;-0.04749656185476754
TMUB1;0.3899584409985386;-0.348152056614184
C5orf49;0.03540524719640433;-0.24693865148809976
KCNE1L;0.09963803578977727;-0.22620390996679773
PPM1J;0.6611368647903966;-0.07993369220078224
SERPINF1;0.9045703781415598;-0.01708910193235989
SQSTM1;0.5836723933976883;-0.14273868717784075
TIMM22;0.5042678687306473;0.29916977925946114
TNFSF12;0.8433137159648246;0.058807428428538165
C11orf73;0.09595799553980608;-0.6609547755060053
C13orf36;0.2591513475568309;0.08805677727830388
CMBL;0.03791191987778871;0.36453942754782925
CT62;0.5363293011718724;0.10438395511209814
FSCN1;0.32102941822965014;0.2783817370701395
ISX;0.8028744571563606;-0.09069305818990504
LCN15;0.41497473332196255;0.3061159326656487
MANBA;0.6792243364829607;-0.12653380374365986
ARHGAP24;0.5907302606362297;-0.11721022418110252
EFNA1;0.4725019324846287;-0.18096196048629895
FBXO17;0.9441927035145767;0.012685588350489614
FGFR3;0.6230312118224324;0.06019867099833433
LOC100144604;0.22217753136032625;0.17901808559734883
MAMDC4;0.2213174941326438;0.27185832260109954
MORN4;0.6974437323924276;0.11064610508706768
NPIPL3;0.09438078332138368;-0.49734411848763915
PARVB;0.056911145819419626;0.5291454862463496
RBMX2;0.4776691463670263;-0.31054424029838695
SFRP4;0.5978604819342375;0.038707896610143226
TFEB;0.7861490880698081;0.08628055479760385
ANGPT2;0.4640411906541817;0.12426882411448457
C9orf70;0.1936176998432405;-0.23693448717536517
DEFB1;0.9756280794347145;0.00303203126524605
GUK1;0.945783626804911;-0.018687744450574455
