genes;pvalue;coef
ATP6V0B;0.8497400468782018;0.15752170513962183
EIF2AK1;0.4925186531398219;-0.4977225377603612
FBLN7;0.20997320473696945;0.46475901314774304
IL17RA;0.4250346270307106;0.48287784205702783
NOBOX;0.5680817196566479;-0.42676628008925277
NRAS;0.4221033894599695;-0.4279904651762958
C11orf87;0.577137419983643;0.09093161958724982
KIAA1549;0.0007178826282257323;-0.2393244470012744
ADCK2;0.07574516700592238;-1.1385443138173224
ARMC4;0.6425030038775965;-0.11378989731251786
BMPER;0.12480344609839046;-0.4120960590112556
C3orf32;0.5827854900619228;-0.14980612629400109
GPR160;0.22230566742842772;0.44018055829901037
NAV3;0.5127467579358487;0.19688687191637755
SDHAP1;0.06880677235764074;0.9862094696390243
SOX21;0.1306743041327297;0.22963947552538222
YWHAH;0.5370493279107124;-0.3164892747967098
CLK2P;0.45568964401106216;0.4630787959612246
GOLGA5;0.5718556829554967;-0.1897328325885156
MDGA2;0.5538972375684075;0.11986841104943266
MSI1;0.024051114872610472;-0.41434029560770463
ATP5B;0.8820211515031102;-0.1288444297217643
C13orf16;0.3610029709650223;0.26374911102985343
C2orf79;0.061802045737219403;-1.4857351863492978
CD9;0.8643205787350867;-0.0887488451109394
CEBPG;0.37426161911316136;0.5629033194891969
CHKB.CPT1B;0.5222389640219776;-0.43175471616051486
NOTUM;0.07272410987627781;-0.31662496375661675
PPP2R1A;0.3558138601166225;0.993709904943489
SMO;0.807313418987718;0.08492876985826954
ABLIM3;0.41971591439716327;-0.26341223890336435
AFAP1L1;0.9734282488969217;0.017496746022810414
ANKHD1;0.097651593993298;1.1499920730187503
C9orf96;0.47172329262473633;-0.3785139490556835
CHD4;0.16297063762622332;-1.1830400917040336
CTAGE1;0.5345162659064697;0.35642901230456703
HEY2;0.43327349903670453;0.3579374499177428
MCOLN2;0.020471249362625295;0.5862149004858652
OSR2;0.2967270761838672;-0.3811684217257775
PPFIA3;0.7436584969626447;-0.15474675974987856
ZMAT4;0.15630621629679117;-0.3741123567364621
CLCA3P;0.40456085477890036;-0.2106525499951225
DNASE2B;0.23156825892147304;-0.2765024131102653
ERI2;0.6207526033737296;-0.3490534724900254
FAM155A;0.5125761385762284;0.16142614044077722
KDM6A;0.3016545319517714;0.49092773610644064
LPPR5;0.7283230455107752;-0.0833257047392877
NRG1;0.2798659452441019;0.23682121234181042
PITPNA;0.4981198883288641;-0.4467086394682885
GIPC3;0.45240517451854667;0.22576024846135018
KHDRBS3;0.14514112604462553;-0.3631891841626121
KLHDC9;0.7291254935489269;-0.09202386217416691
PNPLA1;0.4396334577187584;-0.14922629046863625
SERPINI2;0.8959868051940965;-0.04130937202316718
ANKRD53;0.6420590450139266;-0.1806818971817386
ARFGEF2;0.8912444530129334;0.05106892630654696
CSF3;0.5684254959164223;-0.08600599957082211
DNASE1L2;0.35285047429089267;-0.25343936606152795
IL12RB2;0.6215982886409634;0.11307712057622527
PLA2G16;0.23492381347115865;0.30935218290772204
SMPD3;0.15002468618854736;-0.4315509497244429
KRT33A;0.24730975670395017;0.37528418603901803
PPP4R4;0.10973657897935248;-0.26892059255471407
TMEM52;0.32328022839370063;-0.23648138304572475
ZNF175;0.695078077717759;0.08529718546017866
CDKAL1;0.08544462084989794;0.952666099848607
FAM160B1;0.0017722687963230737;-2.8065148065144427
LOC282997;0.4236226612445968;0.4343429666575273
SMOC1;0.0027392332759934982;-0.5822636065056662
ZDHHC2;0.7890583062610595;-0.07408270207550835
ZNF814;0.0020303100198022237;2.1072931510687107
BEND4;0.6128434423741537;0.12079984698581032
BEX2;0.9449189473494638;0.013998969640062468
CTDSP2;0.6847908305087287;-0.33239405756793317
ITGA3;0.0023253487162694228;1.713617508441499
