genes;pvalue;coef
ABCB9;0.43162281854361395;0.3462640812227661
DCST2;0.6717297056722105;-0.17448686166354083
DCUN1D2;0.6793888484886039;0.2541759415474801
DSCR4;0.597418692970406;-0.4184620258475402
FOXH1;0.6570970142546126;-0.12507788440744008
HGD;0.1404612127439272;-0.3806012375938718
NUMBL;0.29134065892114713;-0.4817138860879749
REG4;0.029797392602830552;-0.6902142507633715
CLTC;0.12035869358817115;-0.9311809558539168
ITPK1;0.8082079895554992;-0.14878234945069932
LOC100134229;0.9936046585657197;0.0031180524697777246
LYRM5;0.057692510883541215;0.9908776091697029
MBOAT2;0.6305488636557937;0.1639473208262809
RRP7A;0.8345753692361548;0.08791474743257517
SFTPD;0.42267862544808765;0.18232910132357036
AKTIP;0.02292851847603435;-1.0637467655739963
BICC1;0.580805759840715;0.1930372908323564
C2orf88;0.4349281264083176;0.28004740361536196
JUN;0.13829028622687212;0.426071719606919
LDLRAD1;0.25081559461747405;-0.34478972175906447
BLCAP;0.5388362029918077;-0.28524051702148717
CCDC13;0.42309896955171833;-0.2611217189002719
CPLX1;0.41141116936514943;0.2285512634902872
LOC284379;0.3514110990408147;0.34477375392621323
PNPLA5;0.970637853191646;0.008484270225058899
SQSTM1;0.8956852111983874;0.060668347027490986
GJC3;0.9883889149513462;-0.004635797397659383
SERPINB10;0.9588600738186296;0.009728614402938894
SOX12;0.930161768403063;0.03387392383433579
VAV2;0.5298228462315071;-0.2176358908455769
XKR7;0.4444720104653105;-0.40657309905333977
C9orf98;0.854919607429191;0.04361378842314784
CACNB2;0.32419704242157854;0.3650997326260234
DCAF13;0.48431514546534415;0.3438764219315009
HIRIP3;0.16275551841629354;-0.7763297185463474
TCAM1P;0.5871687742273304;-0.09034702030212566
ABO;0.6600911495059212;-0.06657121558394466
C2CD4B;0.8842584444197151;0.03455015113954214
C8orf77;0.9724714503675698;-0.011986047118498206
HMBS;0.42189689058317914;-0.5145444395086147
PELO;0.23581024157240915;-0.7372799991722777
PL.5283;0.05619085456990558;1.0568228864885985
SLC43A2;0.5347136176409105;0.25167696137441187
TSC22D3;0.2765446278171614;-0.35366203747885744
LCN12;0.5035686735302956;-0.17573952310265573
LMOD3;0.29098356539404735;-0.24939643994270633
LRRC37A3;0.6768483907172762;0.12501201542654083
RBM34;0.5300231524164085;-0.13243033741097993
WSCD2;0.8944377069133636;-0.01975502929880293
ASCL4;0.18055135444633652;0.4133488571454819
COL2A1;0.1636762219692952;0.26974126365033235
CPA3;0.021261731162555458;-0.5738291388973008
FOLH1B;0.5463149541627774;-0.13186232294973804
LOC100130987;0.8999522165059379;0.045383262603259596
LOC113230;0.7590555473160444;0.13160069535612642
PRR3;0.8314840478282249;-0.14162384996299826
SGMS2;0.47102402681776867;-0.40978703074549794
TEX2;0.42276971135977437;0.6035199445810254
TMEM222;0.9077061748719558;0.09913984850590059
ZNF79;0.4755423228952482;-0.47881463124511736
CBR1;0.22890235094717948;-0.44332109108659024
FRY;0.1268408782293141;-0.6182719016845274
PAOX;0.3822839446174483;0.5445194364771125
PDHX;0.17063835696118113;0.8486810710476784
PLK2;0.9844225560019686;-0.007768218870309523
RASSF8;0.3587600931576569;-0.4466088462039454
SCARNA12;0.9066574838269469;-0.04679062392640709
TNFSF4;0.0941330520621938;-0.5534091436618217
TRERF1;0.6725698722069602;0.20857921341666874
C10orf129;0.14481822857265023;0.8844648186106729
C19orf57;0.7397877844782961;0.12205838440991297
CREB3L2;0.9864005678128771;0.008020179715013473
FOXI3;0.6143578625514357;0.09859002085839746
MGST2;0.277290079882082;-0.5557022959242072
ROBO1;0.4725203775587433;0.2080361235226917
ACVR1;0.4703093903315154;0.5844677394626959
C14orf166;0.4099823922307537;-0.6198414054516664
EGLN3;0.5494802314159959;0.13937528553166545
GPR3;0.04262082236931575;-0.8567372321464586
KCNK10;0.2740096337994107;0.18805710294151506
