genes;pvalue;coef
AREG;0.1066442229616662;0.1890767144594988
C12orf75;0.48559987617181233;0.1382041133633954
C7orf11;0.5898420772666911;0.22833436638407723
CD9;0.8411340125658747;-0.03648710565868282
CDH22;0.30455662833292396;0.20227788279337497
DRAM2;0.7178911293789636;-0.1446968927869443
ELF3;0.36023055776186486;0.11540236086386796
FAS;0.5727062839367776;-0.12398585225394175
FLJ35390;0.4669298671212364;0.14560894991777243
GJA9;0.06170273384755719;0.461202930314576
HLA.DPB2;0.30873193357494966;0.18452374209454175
MFN2;0.4019032333841662;-0.36427649971772247
PAX2;0.8330498746502465;-0.03752248234307589
PNMAL1;0.8720898151334034;0.018371626195961437
SGIP1;0.16362086854219737;-0.24018622559283226
TMLHE;0.26975562775001294;0.31223303473623076
C10orf118;0.5790886741722157;0.1801424211375834
CACNB2;0.8563917366636083;-0.03475444556393634
CLSTN2;0.35373920724722585;-0.11754207413868274
FLJ44606;0.05228880569043917;-0.2728277875651686
FXYD7;0.011253589607885087;-0.2428918408072266
GCOM1;0.41162371754747773;0.15282574591938033
GDF9;0.8480408236232344;0.048505577743853015
HSFX2;0.7218836760551528;-0.0888673618164759
IGFBP3;0.9114588525752262;0.019252781251053685
IGFL3;0.06280899697817778;0.400333880918095
MORN4;0.5338620203770494;0.19564050326902632
MURC;0.6153799441137466;-0.11690432450966186
NET1;0.9205945330685742;-0.028782142117478638
POFUT2;0.4771738480964002;-0.2419996288560448
REC8;0.19254690073974035;-0.32095615899985064
SPOCK3;0.4637096641115439;0.101555024822881
SYT2;0.04580740004121916;0.4501412244844316
TIMM10;0.18456260433341065;0.5835648277693098
TRIP4;0.8172122539814378;0.10556833122374314
TSC1;0.10434782244743461;-0.7432310910531728
ZCCHC8;0.17285244086575735;0.6185346839833816
ZNF556;0.5436208229166337;-0.07266131371299435
AGXT2L1;0.5492257263990845;-0.05934497194798677
BCL2L14;0.7810595066132812;-0.05553491230492058
CCDC109A;0.6951399386296648;-0.192454825805544
CENPN;0.45698477661132786;0.2859758889723719
CLCA4;0.7771783035617659;0.02942085594038548
DBC1;0.5329459740358473;0.09303782019250946
DHRS1;0.39788832347885594;-0.25941091943070493
GRAP;0.7139126519573309;0.09165253616881427
H1FX;0.5030588552703088;0.214476347527052
HMGA2;0.23590085989696108;-0.1101690802096779
IFI27L2;0.32667581419318614;-0.26430019080979633
IQGAP2;0.9574245180136345;-0.007543678584689586
LOC146336;0.8678720234659347;-0.05009204138098568
MCART1;0.791352476768253;0.08515339704042091
PAX1;0.13044106940623826;-0.18563560311756452
SALL4;0.41812151900619565;0.09985064617089191
SLC39A8;0.22085968781295706;0.27411910600306444
TBX10;0.6485729837433487;0.14393028163868873
TG;0.5422992292380193;-0.0738514840251926
TMEM100;0.2836117191486188;0.1448931298871075
C9orf116;0.4038731194047718;0.1787349077185481
CLCC1;0.17681367788047853;0.47068405213215536
EPHA10;0.18560868401774278;0.16604943076024015
FFAR2;0.14984617604356087;-0.2036613698058736
GPSM1;0.7464229465031209;-0.0928889748461212
