genes;pvalue;coef
ANKRD19;0.005168082892883437;0.2695970367307669
ATF6B;0.3508255062745208;-0.21105484285400614
C11orf66;0.04117408264583514;0.1815670564749715
C1orf103;0.8624699860249819;0.021976679858221607
C6orf165;0.603645814690001;0.03485919028794474
C6orf204;0.7801152744692725;0.028742241216308313
C9orf122;0.12131581237732991;0.07755711884083501
C9orf4;0.22690255621389388;0.0732336431789205
C9orf40;0.5925068166565266;-0.07088313322113272
C9orf93;0.19346848710753606;0.12083995849272881
CBR1;0.09435099647578458;0.17464022176742683
CCDC42;0.6924742753475435;-0.0341029834204976
CCDC46;0.9161094502286448;-0.009578047822117654
CCDC90A;0.6532031655366399;-0.07567674367443321
CCR10;0.47123622112771324;0.053566335471995276
CHRNA10;0.18137722767646625;-0.14871899197492847
CIDECP;0.6130560516119373;0.09793371779198234
CLCA4;0.9960971136911927;-0.00019158062799596941
CXorf22;0.7011999571496699;0.02300397903884665
EIF2B1;0.06464776663773089;0.5035500591234126
EMP3;0.08138975121391415;-0.20041669521033045
FAM18B2;0.005142958200552534;-0.4854698989750107
FAM190A;0.48654634445585865;0.040906147111193454
FCER1A;0.09727855317223194;-0.08717373970919598
FGFBP2;0.37196413596788247;-0.03985276151155855
g340602;0.30524292154495414;-0.053115069002939906
GLB1;0.03290382299495826;-0.4038888938291075
GNG13;0.17348386085459955;0.08751549458876508
GPR160;0.7685584969746074;-0.02569994700499872
GRM4;0.6008535524958358;-0.02520521947331754
HOXD1;0.38724805477699775;-0.040569764307420986
HOXD11;0.0267982259985375;0.09224049663630406
IL25;0.40346068680458425;-0.0958483416707933
INPP4B;0.2630413598130117;-0.08473567392544802
JMJD6;0.38465248929531926;-0.1569510718636915
KHDC1L;0.21251354360519392;0.06242088577035958
KIAA1244;0.11346858382346317;-0.09555505809130653
LPP;0.4746610792469118;0.0791643648637636
LY6G6D;0.09813984397750589;0.10916381891181143
LYRM1;0.3738081410077463;0.14013497475340905
MAPK10;0.7140765644123759;-0.02092945808477112
MAZ;0.8231740563851421;-0.04868997999192323
MED9;0.07330652783853685;0.36032569608139003
MIOX;0.940891345758574;-0.0037891458145588156
MPG;0.4475020625532309;-0.1439700026798371
MRM1;0.7126425258434408;-0.056877680396132925
MTCP1;0.4159153652420561;-0.10159868827137886
MUS81;0.6917272857256898;0.08778165919911977
MYH15;0.8858182669527348;-0.007480470163293387
NAV3;0.47966504392733067;-0.04121070203351883
PAICS;0.23893514491789947;-0.20035178598206668
PATE1;0.20467512446987135;-0.1920548995115352
PHF6;0.7937950689974784;0.05043600855017465
PKIG;0.2696754852166423;-0.15444715367608508
PNLDC1;0.05120372314472554;-0.07535886068622095
POU6F2;0.026042236345159286;-0.10563980408622249
RAPGEF3;0.8415896121152517;0.017895440387942847
RBMX2;0.7410749835953737;-0.07460666476930669
SAMM50;0.4731866725215521;-0.12964818803459405
SLC26A4;0.43623549726232125;0.041149888296888745
SLC29A1;0.9377003240658305;-0.007655692475741693
SLC6A3;0.1250713676841503;-0.07509690886461244
SNRPC;0.029314164478005517;0.6402234894202359
SNRPF;0.102469575094589;-0.3363290117895312
SPATS1;0.35954448769106595;0.05031359065948122
STAMBPL1;0.7453938165572729;0.029164312013861982
SUCNR1;0.9498169794607185;0.0034357641098081435
TM7SF2;0.030521497208181255;0.19519325245776556
TMEM110;0.03875219138776248;0.35425325074268404
TMEM120A;0.3448343905633393;-0.163326457124322
TMEM143;0.04370396891065428;-0.3241274277370187
TSPAN14;0.04814080300061261;0.3027478942170027
UGT1A7;0.37779435401753336;-0.03395221204555757
VSNL1;0.06626046319792356;-0.07954535901232596
AASDHPPT;0.8460237101170649;0.0379132385212467
AATK;0.5133700085499615;0.0446504567741889
ADK;0.07233178703881422;-0.26017618055869757
ANKHD1;0.07529732841050485;0.38008070286952256
ANKRD30B;0.4841825544602446;0.03313074672576206
ARL6IP4;0.13885599802753182;-0.3698242856034509
ATXN7L1;0.7651175369371689;0.0441278162632707
C11orf84;0.8437951292820165;0.034882456679379656
CACNA1G;0.3793955099589418;0.04454221070645768
CAPNS1;0.45220218381756017;-0.16959950653070996
CAV1;0.06466834671157687;-0.16408880809741316
CDH2;0.30745866126297006;0.043759157670449196
CDKN2C;0.050336701904917326;0.19327718340464048
CHGB;0.23047914007817438;0.04251029218083725
CIB1;0.8948465201795573;-0.022968075053106735
CTAGE5;0.5003361708582175;0.11960745743790123
DOK1;0.0031894475646716235;-0.41487594026184
ECE2;0.7907211533132996;0.034166103915813324
EIF5A2;0.6177016278359333;0.038602039085017574
ENPP2;0.02507781978825655;-0.1424374288658863
ESYT1;0.9416789733249846;-0.013105154815130145
EXD3;0.9093757029283311;-0.016916567624674576
FAM19A2;0.3951344910873562;-0.05024092487501138
FOXRED2;0.7024326541770611;-0.0520974463296767
FRMD7;0.34662310818156006;0.055914541616204516
GBA;0.3689446660779756;-0.1594830916748085
GPI;0.5662257062012861;0.096158473927467
IL1F10;0.7700675411842512;0.025214191696578892
IL1RAP;0.42175822781947203;0.06933593960899714
KCNJ6;0.6786288489977443;-0.021500813976860624
KCTD11;0.785028552576765;0.038089083229695876
KLK6;0.6064513922302117;-0.017094162364203535
KRTAP5.7;0.6186161982757116;0.03928168420039556
LAT;0.4654903348497481;0.07385093475833475
LIMS2;0.31465515273428557;-0.09061189500510526
LOC100132354;0.9649224951235388;-0.0024399868383179145
LYG1;0.5956461819935808;0.04669579318514174
MCART1;0.8105462704676558;0.03705475084168102
MR1;0.6276026185413416;0.05741272605642027
MRPS5;0.20906509529764306;0.33106947477789994
MYPOP;0.805538095906059;0.05028057701442542
NCKAP5L;0.06776226391637594;-0.25967828944641813
NCRNA00182;0.9287155497632589;-0.011995542208287514
NEUROG1;0.8998695537764227;0.012658754560411527
NHP2L1;0.9069375634200919;-0.027429566697001296
NUMA1;0.43315042366113465;0.15229210953442274
OAF;0.03659563024539056;0.22259992227878922
PBLD;0.7637200298006147;0.03221924037443137
PHOX2B;0.7868636074021937;-0.02575199601689031
POLG2;0.7284701628578583;-0.0707718257339913
PPP1R14D;0.9128159498091453;0.00587729676588918
PRKG2;0.41909381458589046;-0.030880093320925225
PTPN20B;0.7283351211990979;-0.011317752681526608
PTPN3;0.9720958595936935;-0.0023500971644446014
RBMS3;0.2874982015891282;0.0819150778692875
RCBTB2;0.6818656948529271;-0.05596045228292649
RNF166;0.3970148126951851;0.17106438541382263
RNF39;0.3401618901980288;-0.06040700620708435
RPS6KC1;0.424769114019959;0.11672789972797423
RPUSD1;0.2061714806415481;-0.2543343457457315
SCML4;0.0387709502320415;-0.11914793842111517
SEPP1;0.39992339743304817;0.05994755222673252
SLC25A16;0.8478458640246056;-0.028627513508214453
SLFNL1;0.4858133832978432;-0.0673642841412126
STX16;0.5760886969583086;0.12022670934968158
TIGD3;0.8736715335234884;0.014525356358527544
TMEM216;0.14043723997685162;-0.20624938548961008
TNFRSF11A;0.09519089198850642;-0.1148139476181965
TPT1;0.2599963235142537;0.20489241034978442
TRIM27;0.8124157433538437;-0.05238219969780093
TTYH3;0.5083747544561519;-0.08021759335428646
TUBAL3;0.39870605760997213;-0.04540454297714547
TUFT1;0.45713580443432267;-0.07036343362905098
UFSP1;0.6664004578535703;0.051460231994390725
VAX1;0.6764582146681513;-0.017417025993452295
ZNF577;0.12420935433095734;-0.13095474880755173
ZNF607;0.19840577972362017;0.11068076159032475
ZNF792;0.5036997061805253;0.08882057574075844
ATP6V0D1;0.027575214258479003;0.47225091532437147
BEGAIN;0.9729964320502412;0.0019410998971710332
C15orf48;0.355515969892763;0.046646780638964595
C20orf3;0.4200339573506532;-0.14005095453015745
CA2;0.9432549919671418;0.003935579899156608
CALCA;0.9367081043474434;-0.003463881419687135
CALR;0.8477544623261866;-0.03970364780886774
CCDC60;0.606747215017768;0.028039412850173098
CCDC9;0.605885567721518;-0.10292322261763849
CCNH;0.008265986934380652;0.524484902147404
CEP57;0.8223642102491593;0.04585509173443141
COPZ1;0.059529953887550086;-0.4821401654850279
CPA3;0.21738877497114084;-0.059470223841922264
CSF3;0.011096399896376187;-0.0953584323400517
