genes;pvalue;coef
C3orf67;0.9619117209289243;0.007026251112174696
CHID1;0.10347582120813045;0.863148578200283
CSF1;0.5231261475224718;-0.21320697553360368
FLJ13197;0.08355873127873405;-0.5860363842734029
MFSD2A;0.004402645285763253;-0.7655827320076397
MGC87042;0.7177610783259828;-0.0712582594272788
MPV17L2;0.222762318157954;0.9085799335308381
RAB8A;0.9540802929759948;0.04831056545928414
TEAD3;0.43239485608055594;-0.4382154266575246
TNFRSF21;0.5695433777125345;-0.18531081397350968
TTLL10;0.2449280029328088;0.22495504202353997
ZNF334;0.22112703203503592;-0.16576085789751657
C21orf70;0.28082518883450025;-0.5065982522874276
CCDC9;0.20944202969120151;0.7178333853018104
CD36;0.20189482912709278;-0.15606917952434843
ERI3;0.25794013622186185;0.7967692202027596
ERP27;0.09440344246027522;0.29897753187345344
HBQ1;0.9159301895372385;-0.022531985151186013
LCE3C;0.7745943360813621;-0.24510828482521727
MYL7;0.224637990619319;-0.24978188612573426
RND1;0.9891526626702508;0.003452908177717549
SCMH1;0.15613366471458526;-0.6819292454362638
SLC24A6;0.15460180085975772;-0.7148928981396898
SLC5A11;0.5502849954395165;0.09953591710203144
DHRS13;0.8587668176887769;-0.055996456943189325
ELFN2;0.6744116423264612;0.050787775701134075
GLI4;0.3756611683571225;0.3511208185156645
GRPR;0.15049575083754635;-0.31154946959337143
HIST4H4;0.5964251513912765;-0.14483159685413025
HSP90B1;0.13699530424857548;-0.5924648091154008
PCMTD2;0.44050767676458746;0.3611053233863488
PCSK1;0.40095640541726296;0.1398810680234088
WBSCR17;0.3597256533870927;0.19240339083535135
C1orf150;0.16165590807774832;-0.35210959256952035
GPKOW;0.17559461124662712;-0.8434679333400628
ILK;0.0809283057716632;1.0344922118947726
KCNMB3;0.8359151199251231;-0.08841954793426939
KRT35;0.8755819805592022;-0.07316894628805277
LACE1;0.07142538859311978;0.7616455326136463
MLH1;0.016655475765901297;-1.1180514999116
SLC38A5;0.6977522704386647;0.05863053096692313
SPAG17;0.014380155007659129;0.37742838273463875
SRMS;0.511236869150346;-0.13775217045844879
UCN3;0.06862240123603223;-0.6688346437657472
B3GNT7;0.09777784870784832;0.36394314462544164
CUX1;0.7419919290537227;0.14745937321154162
FAM70A;0.39363401988215774;0.17417936165687745
FGFR4;0.9380419812821369;-0.014051277305883448
KRT84;0.4772017770576993;0.1152043080859571
SERP1;0.949323975493992;-0.03191724879957229
SULT1B1;0.033487871369741275;0.27093228829365895
TPMT;0.11369610561559808;-0.6718709929894898
ZNF556;0.10928681411221956;-0.1944848559364415
ACAD8;0.9938402733794679;0.0039569706102147995
BCAR3;0.024825031263283708;-0.705107037834942
COQ4;0.3812212110787825;0.577464180322364
FGD4;0.505401933813904;-0.27730670391970275
GPR3;0.1411942740165619;0.5155391764452667
NUDT16P1;0.6344272617229596;0.14998817501766
RAD1;0.07678630471418026;-1.0412774666929423
RFFL;0.4070460706197486;0.45895619642119967
RGMA;0.5497788081795316;0.09689333044589135
SEC11C;0.6292669497266137;0.24261862904247625
TRAPPC9;0.9824352774142902;0.0114753206080518
TRDN;0.26031816849928635;-0.207350215143267
ALG5;0.5775385225968503;0.27034580071358566
ASPSCR1;0.21300768947015347;0.6613063950181478
C5orf4;0.5852233522631444;0.15800027851997825
C6orf124;0.5442041844828536;-0.15360374099973356
GDPD2;0.7702732083044479;0.03470480598568692
KIAA1875;0.8074763131365312;-0.0636147522752058
REG4;0.19153906109373386;0.17348068094783595
SEMA4D;0.8915868413694256;0.04882044441801742
SGK494;0.00235645097666019;-1.134722290274369
TTLL1;0.16973858658770702;-0.6276770178435717
BCL7A;0.8288902450799218;0.09819516138721872
CAPSL;0.4717002323630074;-0.1610729069899796
DIO3;0.7198398933991262;0.04650042325698986
GLUD1;0.8553307677783349;-0.08929112371602863
HEXA;0.20946747498281748;0.5433003877917049
KHDC1L;0.3324151147683889;0.13196437017675733
PROS1;0.0640092154895352;-0.5074444990796864
RDH8;0.77279609066672;0.06997061859191518
RNF5P1;0.4645201463358565;-0.303944034636512
SLC5A4;0.8653216575460725;-0.043040903235382046
TMC3;0.10988070604547935;-0.4468525939345879
TTC9;0.5855968916916212;-0.1449568602845446
AOC2;0.034689344427617896;0.4978762378774563
ATPIF1;0.060498503320587836;-1.1048533182253049
CLCN5;0.8656206948861014;0.05904315105548929
CTSZ;0.9832897777658981;-0.009508802001584158
DNAJC19;0.39758352613365844;0.592570407826706
MRO;0.9293235122187067;-0.018433449044976125
POU4F1;0.10544407480996519;0.17762416833511321
SLC6A17;0.11996082913991458;0.2680443736639993
SPA17;0.8668568310925551;0.06240036090543035
C13orf18;0.5816177090262403;0.15825932927721983
C14orf166;0.5226848603029053;0.4245447261336957
CAPN5;0.7272888948090851;0.10646183509389923
CHRD;0.9211778901957692;0.033423271126264954
CIDECP;0.25605670803698466;-0.6251780148286001
DNASE1L1;0.49453539870554963;-0.3377348809958712
IMPDH1;0.6937687792167068;-0.15405071514345547
NMUR1;0.30995459548240867;0.22244813463283347
PLXND1;0.5726694161278181;-0.30353788672501847
PPP4R4;0.03735037863350163;-0.3244680871568556
SDF2L1;0.277508576048758;-0.4933625469432041
SGMS2;0.009290915960404555;1.040142538621296
SLC16A1;0.7702917132514736;0.06410835080880828
SLC16A8;0.757793959668374;-0.060998918304128895
SYT3;0.3215343370715301;-0.20513241243073746
ACAT2;0.3762552979714898;0.3611860510248523
ADIPOR2;0.678538850815398;-0.26636363039366395
ARHGAP24;0.9218198148899912;0.032086492214832486
BTBD3;0.9552690901258637;0.02402168993930954
C5orf49;0.8931010465586825;-0.025133878271297604
FUNDC2;0.8477324171600006;0.1317443161678865
GPT2;0.11558137795817756;-0.5691527843835323
