genes;pvalue;coef
AQP12A;0.17155084757280603;-1.022193497110337
C1orf54;0.47527266108361;0.5990728133755984
CDH5;0.7208424155165918;0.3036377186381075
CHL1;0.6330724015458893;0.2336752694800802
FRG2;0.010846556489978884;2.6594125519466987
MUC20;0.47348828319075487;-0.24133991734257587
POLE4;0.14645321523198004;-0.8911840216014156
PPP1R16B;0.7959514227611519;-0.16607714717730498
YBX2;0.397834763631962;-0.24065475071751816
C6orf1;0.26165041122115906;-1.4339775026326964
C9orf4;0.8912396928742498;0.055613642252698395
FLYWCH1;0.10425322628247242;-2.338413517492376
FRMD3;0.5093471409499706;0.3140906560340713
MGAT1;0.08581981923932774;2.8887792145442597
OR9G9;0.714200142131191;0.7286006761878746
RND1;0.8652897577964198;0.10949055402970029
SPRED3;0.20627290086683203;0.45553744821722364
B3GALT4;0.37178792956803974;0.5209856979926956
C9orf116;0.4710723645389382;-0.7387939641281779
CCDC28A;0.15024497421620092;1.5436519698126625
CD74;0.011155444353065952;-1.287333921297748
CSRNP1;0.393593078224463;0.5504866172975732
CXorf49B;0.37069697753081066;0.5253248468403862
MED12L;0.6033553950363633;-0.3324816032964109
PABPC1L;0.6275478449952766;0.1970055812775275
SLC2A12;0.717867100596778;-0.24720078555420166
CPNE6;0.5769062291131315;0.1624540139510258
PCDH9;0.7541011626788806;0.16690196398120916
TBCEL;0.9922673633326621;0.008158223902779657
TMED7.TICAM2;0.8347347913500657;0.026932268683253505
XPNPEP3;0.4492948565365763;-0.7175787812111364
ALDH3A2;0.1141321705051218;2.22412881484462
ARAF;0.027142804194632664;-3.7558729475930774
C2orf70;0.6763363451128533;0.1601126488943815
C9orf103;0.8536592015268017;-0.1680350373108542
CWH43;0.04443809629792152;-1.1316279199224284
DCAF13;0.38202151584128263;0.9830551594269306
EGLN1;0.505086721445992;0.9971038035116178
FNDC3A;0.45608373819384007;-0.8813507212826135
NKX2.8;0.2688544843128835;-0.36379976429378524
PTPLA;0.7253932379188472;-0.18313302446859725
RNF8;0.8738122859913197;0.2500267119331659
ADA;0.5867109675364899;-0.28064886696123015
C17orf99;0.8209915082288619;0.07588515122042001
C20orf196;0.7599232943414369;0.3638317085124824
CACNG1;0.15704921469766392;-0.5599126358778804
CHRNA4;0.7422078893536609;-0.16127971109693212
DEXI;0.35346445163680873;-1.397677223893116
GRIN3B;0.35223645776537904;-0.33799782871325346
KCNJ16;0.26000456888762624;-0.42149089340380713
LOC283267;0.17567899161957645;1.896938724119986
NRSN2;0.7386388605235441;0.487856515007283
SKAP2;0.40934307079913246;0.5479739669895847
ZGPAT;0.5583322249556417;-0.8344581348405106
ATP5J;0.4671689164430046;-1.3142475366242363
C22orf13;0.048955296615459463;-4.252953639343247
C6orf129;0.20715982219755325;-1.7176017088088606
CPA6;0.7475522747256267;0.10696211945598373
EIF1;0.041966467824312945;4.423464969702834
FAM101B;0.10860759392145349;0.8144105490811301
GALNTL4;0.23619092364562966;0.9623817992962802
KDM4D;0.5578255719785377;0.7448449955209345
NCRNA00093;0.5380385419947862;0.2892309560988764
NR1D1;0.7933421660913967;0.18896754937489224
PCP2;0.058982335695464023;-0.8247445694695715
RGS20;0.33044744959959127;-0.4344096079185555
SUV39H1;0.47884240906683995;-0.8641382754182474
TMEM52;0.8514825940090434;0.056537437022100206
APBA3;0.0009961698640644529;4.980611071600593
C17orf91;0.1418672093075133;1.065199539745198
CAMK2G;0.004436124735400782;-2.7086466626674803
FLJ35390;0.8909893662071752;-0.11576758877582233
GBE1;0.007618521104022631;-2.2890612206362424
GPR109B;0.3494764223228962;-0.3461024298322107
NEFL;0.06582847497296354;0.5213423273679766
QPRT;0.4233986052317956;-0.3318693916409424
SPAG6;0.7927941025597821;0.10538705411303427
TMEM84;0.11547574244093543;-0.5712450998583396
CDK4;0.19427478953983612;-0.7355710573502839
KLHDC3;0.7281987710622589;0.5209186371895067
LOC100133545;0.612376205836091;0.2604227362068196
MFN2;0.2760296286007705;-1.8189018423015795
NOS1;0.8936743650793175;0.03748631649702945
SAR1A;0.20795182153522418;2.1352424340966842
TNFAIP3;0.3237326561530527;-0.575780797847771
ARID1A;0.5507784007816496;-1.2270271040046437
BUB1B;0.5157660175328417;-0.2230778298721776
C10orf88;0.25140411642878446;1.554549393886854
C3orf26;0.14075536104093878;-2.307547859786411
CHAT;0.6471873531300429;-0.18930264397326466
MRPL10;0.10037245412703279;-2.9030236279321215
PARP10;0.817470186783698;-0.18721388839286882
SERP1;0.5641824877463759;-0.865615333603032
UBC;0.002837874381444775;4.25425741382932
CGB2;0.0035463359793937626;1.183331340162175
EP400NL;0.2965971147262578;1.0469290392394195
GK;0.8347323576078629;-0.2295249256915069
LRRC37A3;0.4234546996210756;-0.5748247624956104
MAOB;0.6683498794398133;0.10139341895164522
PIK3IP1;0.9314733627943989;0.07608150934179732
PRKAG2;0.4551081320829937;-0.5808627696552311
SPATA18;0.8555815476558035;-0.0625261958488829
ARVCF;0.4023714736042191;0.7969635448324618
BMP7;0.7783833824641389;-0.2334706234108762
GALNT10;0.8298835663984299;0.13383960198620695
HCN1;0.3114898942786446;-0.331711445511652
LLPH;0.22653190695091252;1.7402844376833653
MSMP;0.9314424121097834;0.024612856564636656
NFE2L1;0.14333641455081228;-1.640921195804363
NR4A2;0.18192676709648992;-0.5644215109542989
RNF43;0.49707458834057605;0.24974349493123052
BAG2;0.7604610862473264;0.19459885168314903
EXT2;0.7024859327128996;0.5286469425095206
INTS4L2;0.8255408121324279;-0.12081527651730141
LMAN2L;0.46347921130117964;1.0002850765421287
MYO1D;0.6317742067796138;-0.3236629813533656
PADI4;0.802102613282812;0.06278555435245005
SNHG3.RCC1;0.5838741478632077;-0.2604079396487519
TLR1;0.49162000081898993;0.5818960869511395
UFC1;0.29175847202378313;-1.5861500589617574
CDHR1;0.6252722295172228;0.20848926931591827
CRELD1;0.5052779976259083;-0.7130855946115332
DEPDC5;0.7745165352805735;-0.3210205835338709
SLC38A6;0.6042452910913237;0.3236724777671682
TEKT4;0.65977606801865;-0.11530774662399124
TMCO3;0.6993520992063293;0.3553144155124978
CYP1A2;0.0;0.0
DHCR24;0.0;0.0
FREM1;0.0;0.0
GPR160;0.0;0.0
IQGAP2;0.0;0.0
KL;0.0;0.0
KRTAP19.1;0.0;0.0
MAEA;0.0;0.0
MORN4;0.0;0.0
PPP1R3E;0.0;0.0
RPS6KA6;0.0;0.0
SLC9A9;0.0;0.0
TGFB1I1;0.0;0.0
ADCY6;0.8931291874558327;-0.20338423594609809
AQP10;0.9334924211875124;0.0546081337769937
C12orf29;0.6564851426578273;-0.7287562849576519
C18orf16;0.26583500593778986;0.5875652814009591
CDC42EP2;0.2167199582410625;-1.2693901000415426
CNTN3;0.4630434791820065;0.27654075786744614
DSTN;0.21494440819752614;1.5594188849767012
HAUS5;0.6267927543943548;-0.5945081289603055
IGFBP6;0.0882595087307814;0.8747694973568744
KCNJ13;0.04353894520867676;0.6743683560269585
KMO;0.9017016833743232;-0.04211778093116257
LOC100216545;0.2769996809429349;-0.9860023529908805
PLEKHA9;0.9458704665687419;-0.06527236179808328
SOX15;0.16097704089652032;-1.207615087725247
SSPO;0.33406689672194456;0.5007385665697539
TNNT2;0.0011992349448374927;-0.9167989050161788
UCHL1;0.45513005893879843;0.5027778084448813
ARHGAP36;0.4777084987023016;-0.15713200633561974
GJC3;0.2276651564751736;-0.5110460281461069
IL22RA2;0.010932378774156107;1.6068022567380171
LOC100133991;0.3500736507765143;0.47346122165198445
LOC100144604;0.8966825254508084;0.04236020503789991
MMP24;0.6829741270937748;-0.22540099031199506
NEDD9;0.9612956842965339;-0.02392922605717762
SCG5;0.8388246315114136;0.0653091995810389
C20orf7;0.09851948000818925;2.0808929214444367
C9orf93;0.1957891331585947;0.9271011181621859
CSRP1;0.029466818619568548;-0.9560952385014413
GLIS1;0.844552112469913;0.04965592064694741
RNF157;0.1674676227579006;-1.366979970384358
TMEM38B;0.2634505412745981;0.9808280700009147
TRIM65;0.5317867054825749;-0.5726901716323269
BRD4;0.17898530347208852;1.0645655285385869
C10orf125;0.3336485501529417;-0.614432111452512
CHRM2;0.3255002465973398;-0.34278582145156683
MYO3A;0.31795866096477043;0.27683707783274675
NUDT7;0.7889958924868504;0.18525753720101854
PPP1R1C;0.19744414190700155;-0.48119960288426566
REG3G;0.839728167602795;0.15377036155657337
RGS9;0.9594564615695995;0.019472989321784193
TMEM38A;0.2807541313826821;-0.7564294582184954
ZIC3;0.26399163236168066;-0.44436119692909004
ADAMTS19;0.23714383603425193;-0.36380453452321854
C6orf186;0.5887428893099033;-0.1693323283445559
EXT1;0.7640701704383529;-0.2824219715429587
KLF14;0.46913434076534455;-0.38847834050872015
KLHL13;0.27413607124393646;-0.8480860133333852
LAMA2;0.9206791731942032;-0.041559575290628196
MRPL17;0.9321849283728391;-0.10209854805483674
NPFF;0.016233658628045853;2.0731128950125055
PFKFB2;0.30333284221795054;-0.5711515040687067
PTGS2;0.9552809908039733;0.014045839548022626
RALGPS2;0.1330636729494465;0.7994289951766553
TMC1;0.3589521926128858;0.41896340918056124
VTCN1;0.12494159114281637;-0.4897694123382824
C8orf77;0.014262487942962634;-1.8365271283272495
DNAJC28;0.45088510097920587;0.7550042878816794
DYRK3;0.7773562746401469;0.23707231395283965
FAM65C;0.4588043895232715;0.25666645878680633
FXC1;0.8562144819987036;-0.12982747647520362
PITX1;0.1804457252491528;-0.2688482319623252
RNF126P1;0.08203349482868419;0.7356690690834405
CHRNB2;0.8970457870954992;-0.08561915008993926
EIF5B;0.33858651336620404;-0.7717381369699925
GSTZ1;0.1910600694716862;-1.3758257175919015
JAG2;0.648924356884665;0.3933606003021528
MLEC;0.657343390337551;0.4718025382361808
MUCL1;0.7626555930799839;0.14360348326441552
P2RX4;0.5477932931862544;0.7223712622872098
SFRP2;0.3120081252490181;0.23029887134955576
SLC19A2;0.4419149205933163;-0.6952832028068919
TMEM80;0.26152848854212685;0.9851719754626864
ZFP92;0.4705227810937497;0.21490790241206026
ZNF280B;0.8178810725561048;-0.21623546510739725
C15orf51;0.22209069808598536;-0.38993239086846126
C20orf46;0.2703803630302829;0.781963592867237
C5orf25;0.6252834351212306;0.17275080032347273
DSTYK;0.025707081204667272;3.1210900773641237
FBXL21;0.36500207421940245;-0.27315699543108085
GNG11;0.23933494920679232;1.309273281327237
NTS;0.9007475771971183;-0.027955290809815417
PELO;0.17763872298032835;-2.380176458365937
SNX10;0.1588813703618075;-0.5928253543602491
ZNF282;0.10556227874733581;-2.482501839829246
ARFGEF2;0.31069550037293736;1.7854248396806678
C22orf25;0.16218516589815002;-1.9852062960608359
CBWD1;0.4304905181285993;0.47951157282671275
CRIP3;0.820676826341231;0.1442908179349607
ERGIC1;0.5954284376627407;-0.7161077445369547
GCLC;0.9243005006954992;0.08508393576526828
ITGB3BP;0.9021659443286572;-0.08326240802357086
LNX1;0.04890553221916502;0.614561196094233
NHP2L1;0.8096118562703651;-0.35297876677913964
APTX;0.9922765355412203;0.011674502297251803
CARD18;0.23629350973057028;-0.7257050049307682
DNM1P35;0.7546242607722079;-0.16951004109677548
RPL26L1;0.11145741459372357;2.2740368402982436
SEC14L2;0.30082767870681737;-0.7581672927798224
WWC1;0.3049634869103761;-0.7695897770263121
ZNF575;0.45595263079605464;-0.6180669233527522
ANKRD53;0.8005559497262608;-0.13228538565400152
B4GALT3;0.32989469637928914;1.277408028049593
C18orf21;0.270535225431931;-1.339845521641649
CTSL1;0.13412047634594057;1.4129015400636284
HN1;0.9012032291145644;0.1254662476477296
RNF213;0.13335026833702918;-1.7620572928329323
C14orf181;0.3493466182654781;0.4378125651161176
INTS12;0.33955865621454473;-1.0481392665628873
KAAG1;0.32078939104449833;-0.3656423627342125
LCAT;0.7766752027210901;-0.1747849021708135
OPTN;0.07603438524019929;-1.7397684676491418
PCGF2;0.44405739942298117;0.796232284093064
PDCD10;0.5333908784304269;-0.9295113841948097
PGCP;0.3099847286968562;0.7324710026792949
SETD8;0.07118503545348155;2.111971849074297
FMO6P;0.15125513231964563;0.7729269308555672
HLA.DRB6;0.30562233852429865;-0.1762634754529676
JUND;0.16129014635930106;1.3607668471580279
RAB18;0.2070266462448085;-1.3833666455481484
RGS22;0.7353084913516986;-0.09551775135449717
SEMA5A;0.3619787439773601;-0.3302799787548465
SLCO4A1;0.504289926452892;0.35423344088369113
AKAP14;0.9165159495501903;-0.03520933685149171
C6orf10;0.7887775253198113;-0.2285119068907089
DIRAS2;0.4690445080851626;-0.38926862377171145
H19;0.28255323505730734;0.15930408406493013
HMG20B;0.06783386342595375;-2.5200442907060974
LRRC3;0.4733218792677487;-0.273894822349012
LSM11;0.6933658169296205;0.4760178378258226
NUDT17;0.40200232210996845;0.7331549536268187
PATZ1;0.4382403342351987;-1.0551217786585732
PRDM13;0.07405385086356447;0.5033646585339147
SAMHD1;0.3659318529087877;-0.6747377638011008
SOX21;0.006386483351067631;2.048187462251269
SRA1;0.20799261668306668;1.9582339690346415
TXNDC6;0.5161456033462093;-0.5256768636183126
BOD1;0.03043658299823215;-3.2857925148967597
C14orf128;0.5366052092913844;-0.46456250936477417
C20orf3;0.2447719403125136;1.260815663366266
DDIT3;0.2589877000820884;-0.6609575641497388
MTUS2;0.9663113667515254;0.020030139440824726
NCRNA00107;0.14315467021800862;0.8248748586571835
STX4;0.16020555527504754;2.0887675511554793
TMEM190;0.33346005154490965;-0.45162953154032925
ATP2B3;0.6736572252540671;0.1344470118817611
ELOVL3;0.9785525761978191;-0.009318144530015506
FAM96A;0.8447178481147749;-0.23221273175835655
HCG27;0.026137115020314305;-1.0972268653068187
HEBP2;0.33081321122674545;0.7421513930040443
MAGOHB;0.8266291628247768;-0.2615545971518031
MLH3;0.28780724536413793;0.45727898141476
PCSK5;0.2991259869039655;-0.501579516582103
PLEK2;0.733216748191129;-0.1152883257466719
PLEKHG4;0.3847041627731508;0.2876419104144005
RHD;0.016267865201680543;-0.7968882726896989
BRF2;0.40681386836909317;1.0770963986294997
C17orf63;0.6996377265256076;0.4628184367995498
CCDC160;0.013263267735762132;-2.1438611274840893
CHRDL2;0.9885416359303758;-0.0034190000366927675
LCN12;0.5287406015115987;-0.3131300045699418
