genes;pvalue;coef
AKT3;0.12464352011503034;-0.49891101670175836
CRABP1;0.4354692834093016;0.17255191371598902
CTNNB1;0.5345075889677305;0.3600461654245614
CXCR2;0.8338568181786372;-0.04259395544315514
FOXF1;0.41406721295989446;-0.2687806626990365
GATSL3;0.5759337245502811;-0.22344265981629632
GRIN3B;0.7861692658805426;-0.07338316439573873
MEGF8;0.10190464578533776;-0.7965623806459979
NDST1;0.0694255194721877;1.0051097745903639
PLEKHA6;0.8674219470321679;0.07841809154757223
RAD51L1;0.8154286344705043;0.09345343994095194
SH3TC1;0.4462382040345817;-0.34023038868344146
TRIOBP;0.8815748837314278;-0.07879825082998197
C17orf95;0.6144442017202447;0.3236384311879058
FAM173B;0.10456928322825707;0.8456526828977194
IFNK;0.21292229809221008;1.2151228494080384
NRN1L;0.8155208127059128;0.04460013445215856
PIGU;0.30026932651863747;-0.6335418267430354
RBM43;0.7021759129401262;-0.17054372603221593
RIMS2;0.342425721603034;-0.1460697519010358
SLC24A6;0.9563341939457015;0.024217250630473086
TSPAN3;0.4007893169218588;-0.3634295551584494
COX6A1;0.0;0.0
GTF2IP1;0.0;0.0
KRT33A;0.0;0.0
NAIF1;0.0;0.0
ANKLE1;0.42968670263238595;-0.2290052920469708
CPEB3;0.8617192758377162;-0.058377427429457486
FADD;0.5304556584020425;0.30525821799688685
FAT4;0.3116711842997877;0.244204444832508
GLA;0.10595537614233552;0.7090827173070273
HS6ST2;0.3963984709311711;0.10870744891907154
KIAA1257;0.3006207046431165;-0.17960044142047993
NEURL2;0.34003282230918286;-0.4518642439105445
NPC2;0.27829043875402104;-0.5412242885923242
SLC16A12;0.980306538895239;0.0037835929834942276
WBSCR27;0.15496611321472828;-0.2748857057096958
ARL8A;0.25127478030980277;-0.7608374790443415
ASPA;0.953047208040907;0.012449214236912382
CDKN2AIPNL;0.7634892357327511;0.18791920677509574
CRELD1;0.415766625358575;-0.42676096536624686
D2HGDH;0.34625671061354546;0.47194770030140426
DOT1L;0.11737123554570318;-0.973881687937042
H1FX;0.07912023678360011;-0.7993721710571783
KANK4;0.03177783574755851;-0.24622908940898328
KLHDC3;0.09944542571093982;1.1242100593389504
MAP7D2;0.6373673713127974;0.04820501691682241
SLC10A2;0.9257291864971573;0.03668197074202031
SLC35D1;0.06824880281598705;1.0146327703434739
SOX7;0.6814067982466032;0.13242601608513171
TJP2;0.8465024742783579;-0.07917906973157231
ARHGEF12;0.8989729716574019;-0.06894668420795347
BSCL2;0.5870169607520717;-0.21867354119991034
CLEC11A;0.22160338010075742;-0.43396961453886107
CLEC4GP1;0.16280166680533836;0.280198775703179
CNPY3;0.5465359017889987;0.2615996883979995
OLFML3;0.7036183469750598;0.08634706917149584
RPL10;0.8420829733570884;0.0944198200201622
CHMP2A;0.5587029283727212;0.38200465739859757
EIF4B;0.992514422268447;0.00523423751724362
FBN3;0.7033912967194075;0.04581462630016122
GRAMD3;0.9480676770940198;0.034098453539222424
MRPL17;0.11963582842926133;1.109002816012605
ODZ1;0.416255065504577;0.0862150020198354
PKIG;0.8030502389693048;-0.16927884262449497
RHOC;0.1639219995229837;-0.8209113423541371
RILPL1;0.3145060468451111;-0.6255867655844984
UBTD2;0.8730577062913396;-0.09925407559222314
ACADM;0.6962725200194685;-0.18089176215503425
ACP2;0.03526414983790728;1.3022117520040308
C2orf56;0.6932138928789457;-0.27127938630930587
CHRM3;0.5945427217361019;0.08788232613632392
CLCA3P;0.06902506808674619;1.8019345987291373
CNTD2;0.3319590021168374;-0.1724922558355953
DLEU7;0.9411541500588946;-0.017444160790562397
HCG4;0.1088917166016142;0.2368356263982667
RAB3IP;0.05067060329713762;-0.7885005529350263
RPH3AL;0.09925886387824655;-0.5881731071071997
SLC25A26;0.6307536886357292;0.2916918633917144
SLC25A45;0.4576864299287441;-0.3332952864421746
CD36;0.9368135639718291;-0.015198225624640974
GALNT13;0.20426772982679764;-0.22396318607483712
LINGO2;0.3997841031673286;0.2535462659028855
MYH6;0.18234617352818794;-0.4385308199729646
