genes;pvalue;coef
CNTNAP2;0.2078900464396033;-0.8925184467526333
PPP1R12C;0.10548300467329427;3.046890755552049
PSTPIP2;0.25082472049473437;1.373810451042085
SYT3;0.9678907533866573;0.03431622364622211
ZNF608;0.6976166082113033;0.6276724542081313
ZNF83;0.04549940491198297;-4.819612668506352
C17orf70;0.5571285022444943;1.8545020742197171
C6orf41;0.2382296362972548;1.5764595594420656
CIB4;0.024073000808706137;-4.159796873646865
NDUFB8;0.17060352546147672;-6.262097966914965
RBCK1;0.05519449774106561;-7.453184542484213
STK40;0.07238639012264472;6.019652956184357
VEPH1;0.7320677160176263;-0.3388566778263762
VKORC1;0.18464314027981832;5.5716899273495875
IL9R;0.4510356906877986;0.39033574732098136
ZGPAT;0.012020547552445204;-0.4107108733699637
ATP5G2;0.7847527295266683;-0.26829169146675713
FADS1;0.6079205539958106;-0.6327965367364181
FCN1;0.11042196812476728;1.2100926691432758
IGDCC4;0.6438042398712227;-0.5134296201835031
C9orf91;0.8481570044279415;0.4808475755456127
CCR10;0.04158565232545378;-3.0734914071621753
CYP2C8;0.040115330207062476;-1.560287993243433
SARS;0.19735938431022626;-2.8780341978163726
ST7;0.06061325207253751;4.2898520321318365
TNNC1;0.09876747370943023;1.2366553156298516
CCDC147;0.09249124712931259;1.8694571851324193
DNAH14;0.8325701242857982;0.343602814671634
DNAJC1;0.4598249003347076;1.8254897123220741
KCNS2;0.13192480785472396;-1.3554379195427442
LOC349196;0.013158908467302902;-2.9459610424113243
ORMDL3;0.4064280177873446;-2.203747431246068
RAB39;0.3888089684105296;1.523409998923387
TFB1M;0.8813323585941608;-0.3563707518893397
BTBD9;0.7486034025114674;-0.6411822771397491
C13orf26;0.07894937123763766;1.6979242642679715
CCDC11;0.22371284815431036;1.4376835351564028
EPN2;0.7741956888669708;-0.5749960858613755
KIAA0146;0.7122291814884897;0.6772792619229079
RIPPLY2;0.7345862692540328;-0.2871311849033728
SPON1;0.22923093136482198;-0.8417743524222966
HINT3;0.6866151107153451;-0.6204926769725047
LOC595101;0.5574916656964544;0.4465300597514706
LRRC42;0.9586625948820668;-0.07258351793071806
C9orf98;0.3884482624822253;-0.8736043261317001
EML4;0.37310640301404185;1.228740695324565
HPRT1;0.1804955830952073;-1.8224718807315354
MEIS3P1;0.8145077968014811;-0.29349324823065437
RASEF;0.21320740384437464;0.7910144011096072
WNT4;0.2729652448150732;0.7341246741640142
C19orf77;0.20982707610260487;-0.8569524420486895
CNNM3;0.880737323378179;0.29338802661350366
METT11D1;0.25107451539108505;2.874504933734446
TLR2;0.14864111122937357;2.5733968927903574
VPS18;0.037733781295792905;-5.069820857999666
C9orf24;0.03779349055991248;2.2387186947925657
CNGA4;0.038316085054990796;-1.7896382693221415
NFKB2;0.1508646361083824;-0.43894787524827694
ARFGEF2;0.047411051044830066;-5.424268036365132
COQ7;0.03187066759690813;6.67496558305212
LAMA2;0.5788698925492649;-0.6145181362838167
MED11;0.9816462013099484;-0.04839656313896208
PREX2;0.6859374560959708;-0.3438908198647151
CCDC113;0.3726329425780981;1.3036269475055142
CHD1L;0.04878334363987875;4.209407685437039
HRH2;0.6783686377088762;-0.610395350265749
MGRN1;0.10442693856113636;-3.737086627222142
POLE4;0.35276223736704915;-1.9492377883921335
RNF17;0.01671205902235424;-1.1663195692776356
SYCE1L;0.20906666484275405;1.1779239759126068
ZNF575;0.8260698519323283;0.41113499410996796
B3GALTL;0.36386278615689527;-2.0872485511952052
C19orf50;0.18286509685121555;-4.376360442897689
C7orf42;0.09463646292698949;-4.646346623430811
C9orf163;0.6287293028399203;0.7674968865118824
GCLC;0.23841157628020226;2.391751618222502
PBX2;0.01399952531048863;4.399148251716506
PKIA;0.9263176271605168;0.10576414320696609
VSIG10;0.17585535386618856;3.5753438379851183
CUZD1;0.0966493985393711;-1.4583196176560556
DTYMK;0.16634747726265775;-3.051663198424378
GLDN;0.7460867222813997;0.2416302036888563
SUPV3L1;0.10926292214067923;3.615497219402914
SYPL2;0.4312208749203458;-0.6421157898481861
GNA11;0.6188470677863096;1.157680358611125
PELO;0.22157036409114184;3.510188473778449
RAB8A;0.07613593603448192;-5.830940920592658
RIMBP3;0.008464964742323893;3.485051348979565
AKR1B1;0.033381157281531085;-6.799556597630064
CD97;0.043418997384179675;7.448091722187118
DCDC2B;0.032380164190245676;2.254510420304111
TFAP4;0.7917068928381596;0.7610303294348297
TM9SF1;0.6089145878510667;-1.4093516198590388
TPO;0.731475757807095;-0.2894505419150604
CHL1;0.35640125964621727;0.4873862157443488
HEMK1;0.0585985466047659;4.357116188272289
HES1;0.0737043822318677;-3.309421877641731
IGSF8;0.2199926310241901;-1.925638037682408
TCHHL1;0.7726331430305186;-0.3042828666745011
VWC2;0.2528476884623364;0.586399045074671
CHRNB2;0.8135148672744665;-0.2754479121629429
FIS1;0.19883866176805143;2.1964226072609345
PCBD2;0.13916568106094185;-3.046026294977071
SH3YL1;0.9789952660291676;-0.03450737594709478
CNGB1;9.445268800284495e-07;-1.0521540141580141
ASAH1;0.041555581817850816;7.202520264548989
CASK;0.015250827016274669;-8.52527278774582
CDKN2C;0.17369786747882465;3.6831888676068867
COL25A1;0.07285773329982062;2.049961308230214
ETNK1;0.574261538616263;-0.9173332378979405
KREMEN1;0.2688426633766232;-2.2779258729273475
PLD1;0.9272174006806411;-0.12473283569332498
SULT1B1;0.11958311576638074;-1.3968632273681763
ANKRD13A;0.14307573945404947;-3.3961131037870373
ELOVL2;0.2422902843715271;-1.397769945274919
HIF1A;0.057022956761137375;5.364740574153513
HOXD3;0.8346096737570445;-0.1723136758755887
LYRM4;0.59795694776267;-0.9762937637021288
RALGDS;0.8976801848181714;0.2923792080034924
SLC9A3R1;0.6822214797497996;-0.8266461401562964
ZC3H12B;0.5890553723884433;-0.7339207588084311
BEST3;0.9351693672800759;-0.04911522950613933
CENPB;0.9487369607556007;-0.05940815621942073
KLHL14;0.41606211218857814;-0.5354890202029835
RWDD2B;0.9727366322753599;0.0430244809653201
BCL7A;0.9074956475375094;0.12601533903570908
CCDC92;0.7806993128107766;-0.31992501558198877
EFCAB1;0.8820410727301826;-0.07815278286087092
SERPINA5;0.8352500515289617;-0.1245035104946911
AFAP1L1;0.8079468215705486;-0.36776028251992954
ARID1B;0.0878426746103309;3.7785065918120435
C1QTNF1;0.17796542159049278;-2.0137555722762346
GABRQ;0.16655459382880444;-1.1394522227267485
RALGPS2;0.41049280909286034;-1.7143862439736692
DKK4;0.26577686948584556;0.6460887211678779
FZD10;0.3901863622758581;-0.698710712529583
PQBP1;0.2501735491480235;1.2826444583769854
ProSAPiP1;0.22782062534998437;-1.549880471047436
HSF1;0.4241338556124833;-1.4724997032473526
LY96;0.9882046879354058;-0.025833462545798547
PHOSPHO2;0.3457063151568325;-1.187062173312828
POM121L10P;0.9276704432797682;-0.06147889364113735
STX3;0.059863440147123075;3.5271856879454098
TXNDC17;0.423142538666223;-1.6015466252754167
CERKL;0.37050024784684366;1.3596812589702716
KCNE1L;0.29409483374935097;-0.9874346993561927
SIL1;0.018800123334617967;-5.717903750476926
VEGFB;0.02831047237974389;4.854326289149071
FAM69B;0.49145575105325756;0.7012698846128446
PDK3;0.32450869447908626;-1.2454664662512647
GRB14;0.03551209931345056;1.9509450420220253
LOC284837;0.813328587434115;0.19399587301446006
MLF1;0.7206441632672309;0.42514429796824715
PDE4B;0.029675995924287796;-2.986056274646348
SHISA2;0.38259879697953536;0.7056756398282904
C1orf123;0.47625915464943724;-0.9999578189326875
LOC284276;0.13414842004690627;-1.0625444453274189
MMP28;0.6799303007370405;0.31580980045959134
PRINS;0.34826312315030616;-0.5643530528266689
SAP30;0.46629195706354676;1.213557726734977
C20orf112;0.016633748439141574;-4.943235745483541
CARD18;0.7833754003978409;-0.157215683169709
COPS6;0.07066495362433262;3.973125883253194
GUSBL2;0.5771494943695367;-1.053826405850389
RDH8;0.9373570515968168;-0.05768569024923225
SLC9A3R2;0.5817281020344298;1.071152956512979
SPACA3;0.16769870057533964;-1.615830263385421
VAX1;0.4223517833210718;-0.3612096227053362
EGR3;0.3239115699842732;-0.9071620358033753
ETV5;0.5651524434964136;0.4901758356455609
