genes;pvalue;coef
ADORA3;0.5015097573537554;0.05037116266673605
ALG5;0.3206183646193461;-0.1595640387078062
ANKRD57;0.7800429683849839;-0.0294811189414233
ATP5EP2;0.2045026736837925;-0.11777352268441714
ATPIF1;0.8543080612206394;-0.03366162752834825
B3GNT4;0.6270210606481521;-0.027754044503038804
BPIL1;0.4801901184868794;-0.02189325315056031
BRF2;0.36739095041048075;-0.10903829997173853
BRPF3;0.7564850565597876;0.043457790071409055
C10orf57;0.9892257976071175;-0.001874265886086357
C11orf17;0.029856459356272874;0.37920131482242525
C3orf14;0.7896793879265311;-0.012208400312279606
C3orf36;0.9265909954046546;0.005376537581985734
C6orf127;0.7103475244394264;-0.021670615344519473
C6orf27;0.6374619270323857;-0.0286365236689701
C6orf70;0.22321025922078375;-0.16001777104837528
CACNA2D3;0.430588840230568;0.03652200594477412
CAMK1D;0.1002517545395665;0.10391793055709524
CARD18;0.4787890085816223;-0.03865626927843775
CARNS1;0.45087303564644976;0.0446495690740675
CASC1;0.23219325930693746;0.08287405571991303
CCM2;0.5642667458370638;-0.10305515594240153
CD151;0.5899458317127299;-0.07174028048449545
CDK5RAP2;0.9885206930909889;-0.0023519541210811267
CELF4;0.4115152166095247;0.04333087337433274
CENPV;0.1567501758793249;-0.07391366276234002
CHCHD6;0.25795060480338516;-0.13416411974679773
CNTD1;0.2874062140265521;-0.11513061484644024
DIAPH1;0.5699231226377788;0.09920955146588481
DNM1P35;0.4221982597275399;0.06636982450495327
DNPEP;0.19969181739714736;0.2538102923247262
EDARADD;0.5007882468936885;-0.043725026306912385
EFNA5;0.06005406604852562;0.08351425007921623
EPB41L1;0.010003726750085276;0.20532712117855667
ERO1L;0.5833457522457691;-0.06791843991793144
FAM86D;0.33184205562960567;-0.07519079358541024
FARP2;0.12591882083689693;0.17744750407907048
FCHSD1;0.4132663284684637;-0.08600943226053696
FGF17;0.5480030337044713;0.029616630314418062
FGFR2;0.6718313572290835;-0.017764424703092443
FLJ13197;0.4954732556287922;-0.053806603878933566
FLJ90757;0.8819591342229439;-0.017780982296965436
FNTB;0.6406599375703104;0.07234620529967067
FOXJ1;0.7742036980005398;0.009732744996128799
FRMD5;0.26582211688604374;0.053808608239422906
FSCN1;0.09540951370961684;0.136476601588239
FUT9;0.7807671126695097;-0.010423486292070065
g90288;0.8930947621961511;-0.008012886884580933
GNPDA1;0.9364292267997538;-0.012689964255240741
GRIN1;0.11800486288051833;0.07388824008307306
HMBS;0.9180826837790801;0.01675321947067753
HOOK2;0.052018623659933504;0.2591752031898333
INSL5;0.9684061974006196;0.0028071808706737755
ISOC2;0.20904226095829403;-0.17344806941238614
ITGA2B;0.23162176032023396;-0.06840789695053233
ITPK1;0.28259223686373847;-0.14056292760877204
KLRG1;0.21473927646860758;-0.09928385562307726
KRT2;0.3199862449309674;-0.04353393641318301
LANCL3;0.04567182714671609;0.10044026903877123
LOC144571;0.4745253014069096;-0.0582081548274893
LPXN;0.7125293590958783;-0.03629746936683717
LRRC19;0.1391212146534627;-0.07349363737799659
MAEA;0.3506918785919838;0.16621726751212904
MEST;0.9693165758515646;-0.0017255254331417231
MET;0.17826423670212188;0.07341488019634872
METRN;0.030873029477627833;0.16269745743608102
METTL7B;0.0008528894725924167;0.15506599995837161
MLNR;0.8475756343203475;0.013142361288310722
MMD;0.5743528401599923;-0.055024990042572525
MOSPD3;0.5065644462908709;-0.09710911678115286
MSRA;0.2752192764408271;-0.10762222810995183
MST4;0.5141750141762828;-0.038637992369751836
MTP18;0.31706895973802585;0.11635247701515032
MYEOV;0.4755388374387324;0.02244987512436303
NRL;0.058582021623929004;-0.2393292800479132
NT5M;0.08948500538144942;-0.13986067001658806
NTHL1;0.46490983708547695;-0.11972498158990026
NUDT2;0.0531275088492504;-0.237290159888928
OGFR;0.6287270001170807;0.09369492676467256
OPN4;0.18616884610559825;-0.07077006576497562
OXER1;0.49999532486339826;-0.04362415076071245
PLK5P;0.6397064441086451;0.02600070759654941
PTPRT;0.08968713419183691;0.055312401082917594
RPL5;0.7602943728156076;0.05693799654277502
RPS6KA6;0.9366125153991026;-0.003255837027909088
RRP8;0.612648099921929;-0.10394864680882498
SCUBE2;0.04422183095383717;-0.07991034347149337
SELM;0.012825371237777912;-0.20127601428400377
SIGLEC15;0.42896960261488193;0.032246737197892054
SLC10A2;0.5885913797372508;0.03370591085394177
SLC43A2;0.04873078090564792;0.18193586825820157
SLC6A13;0.08239791253934088;-0.08682067465958322
SLC6A9;0.24458826531519517;-0.07350321478953918
SLC9A3R2;0.6872476441792887;-0.05147389439298753
STARD10;0.5768606392936589;-0.053430047396495296
TACR2;0.9325607209126672;0.004514417810088751
TCEA3;0.14373807283842777;0.08741874415484067
TET2;0.35139930619181514;0.13127433717762357
TFAP4;0.6325246949454747;0.07603935879185134
THG1L;0.7558147369701931;0.05155052511573749
TMEM14B;0.07786062561331338;-0.31232513860714956
TMEM61;0.7905851204785517;0.012768071683274129
TMEM71;0.3586818838493949;-0.05566225407217901
TNFRSF11A;0.0011732028826509813;-0.19297933067251058
TSPAN6;0.28835058176120953;-0.10581798809479598
TTC16;0.14273315293473426;0.09426678023507168
TTC28;0.8804043023734345;0.016251915734432788
WDR91;0.8066835095935474;-0.02725710084802258
ZNF555;0.16182713613838495;-0.1929545697387473
ZNF673;0.019170083306704024;0.3920463626761421
ZNF774;0.018352292062188056;0.2314211998122672
AATK;0.07043831663539368;-0.10615384729011071
ACACA;0.18401485649399785;0.17781852045765756
ADCY9;0.8074171246261002;-0.029142142619068945
AGAP3;0.018198724410435105;0.3667353528723307
ANKK1;0.5751468042051222;-0.031041690202853866
ANKRD34A;0.062176322114951985;0.16180398032777446
ARSF;0.12912411333307722;0.06271260438357139
ASS1;0.9950631062806646;-0.0003338823825584872
BACE2;0.20660851946392345;0.09732487152019284
BCAR3;0.09908205341973256;-0.14033639030766348
BEST2;0.9250909645043527;0.005206815649336
C5orf58;0.7201804445696127;-0.019711392447202873
C6orf105;0.4000733792304575;-0.03669429751699275
C6orf192;0.1754586599283755;-0.11610300003886223
C7orf30;0.8717846692027866;-0.031947204122395156
C7orf46;0.37018651626383003;-0.061665509052615176
CALB1;0.6762306149053658;-0.012340252006546351
CCDC42;0.8754199352446761;-0.011297122263214384
CDON;0.998489830186487;0.0001249047312793743
CERKL;0.26977552570572727;-0.07768618100931678
CHCHD4;0.8684374317007685;-0.03015517027144719
CMTM1;0.30610116274937893;0.11883174883352422
CORO6;0.08884200021905608;-0.10226618891033408
CTDP1;0.18019137312577627;-0.22813148812583484
CTPS;0.8291665226688582;0.029785105758559787
CXCL2;0.23582778982826202;-0.05841703031991694
CYP4F12;0.3494934439235816;0.037271867163159556
DBI;0.01609471160331791;0.3172576855504642
DCP1B;0.4266422411546398;-0.08825622188964959
DDX25;0.1788236171280947;-0.05663937866149424
DEFA5;0.836406692566488;0.011209490120849501
DENND5B;0.8184322657830676;0.021853472088054774
DLEC1;0.20029238895702928;0.07331423347760309
DOC2A;0.11976464219476404;-0.08183523106524593
