genes;pvalue;coef
ACOT11;0.06755328641665424;-0.18042009893901942
ATP1A1;0.060664934137295644;0.40911126441485923
BEST3;0.1557029080257425;0.11074350257317087
C1orf126;0.006979671396589563;-0.3016189281325979
C9orf116;0.6268910600945412;0.07462892632151799
CCT6B;0.5355909349024048;0.07933848172606492
CDKAL1;0.811726549583256;-0.0654067627929312
CECR2;0.4603349316064752;-0.054684708777882514
CRYGS;0.3088263372551153;-0.1473911326061469
DMRT1;0.7467073017868254;0.030529698209980218
DNASE2B;0.09580032378378198;0.1251864015574991
EMILIN3;0.1220869878543809;0.10667951472381346
GPR155;0.9398506653005049;-0.011402190159568967
HCG4;0.010508047668276888;0.1596727808521876
IGF2R;0.03372088722171031;-0.5449125647069084
IL19;0.5606949620250179;0.05250374151585274
KAAG1;0.8146772943607173;-0.01998399014864165
KLF12;0.8450228509508422;0.027894378183271926
KRT20;0.7487030712581375;-0.019670194722276258
KRT7;0.17197423824453772;-0.08236477341812451
LIFR;0.08016127675021015;0.19794077167127067
LOC100188947;0.05470735138313705;0.16772101707901166
MAML3;0.6357309951881287;0.07649351494736764
MTMR7;0.40758901180385887;0.11290816509208483
NGEF;0.01452218700099475;0.16642299683702352
PBRM1;0.8526558245215051;-0.05732175757537434
PDXDC2;0.18231721416004698;-0.29183187604319927
POU4F1;0.5789162971361776;0.03545384607730521
RGMA;0.7821852735986596;0.028030078963145598
SDHC;0.298127046587623;0.3423097071180969
SGCG;0.37725489957089753;0.06678592159221788
SKI;0.8019254279237357;-0.07008008796188571
SMTNL1;0.3475159364064154;-0.10242799124638506
SYT3;0.4493765642940505;-0.05117895526583105
TCEA1;0.5410019612436576;0.1707479744215391
TRIP6;0.002485292500555035;-0.5300232711617562
TRPM5;0.8862132244208552;0.012345377267684128
ZDHHC23;0.5275189198145869;0.08628820752337403
ZFYVE27;0.7812788083529041;0.0804274453955877
ALDH1L1;0.9022309651865156;0.006869678010380736
ARG2;0.09016489504090962;-0.22723483143251433
ATG10;0.6225439495098931;0.115619581235395
ATP6AP1;0.14772420904659556;0.4277980987775479
BCAS3;0.07524132002966955;0.35373283114332327
C7orf28B;0.529762384938356;-0.10574088248377576
CHRND;0.9000370286670757;0.01249063999420838
COBL;0.1467662065272455;0.09983127967283405
ENPP4;0.011958089454147171;-0.30274688652317217
LOC100216545;0.8068918004632362;0.05191161819727773
MAP3K13;0.7964661177378065;-0.03604359863097689
MEIS2;0.8040171201965004;0.026292731490446072
MOSC1;0.22348565741516668;0.12870297728552132
MXRA7;0.0004652193709171902;-0.6493617209506403
NEUROD1;0.10075033042911431;0.1613647963441452
NOS2;0.18578135838050314;-0.08782638625389476
NR3C1;0.9410417751268241;-0.018448080955679267
P2RY1;0.9813815920094892;-0.0024019805852836347
PCDP1;0.5965006682754566;-0.04211798682656075
PEA15;0.6464643575072863;0.11304656581468224
PEX7;0.2523690248731034;-0.2612578692835939
PRPF40B;0.6795373212599504;0.09888548950039365
RPL3L;0.28670966769315864;-0.10230098896135129
SDCCAG8;0.29612784094802835;0.2899443972815375
SEMA4F;0.9797877319808094;-0.0038950243714759476
SLC1A1;0.2271792990272461;0.09850319410650879
SUZ12;0.5016467282341671;-0.19375075181399673
SYNJ2;0.6089726786084233;-0.07225745601474225
SYT2;0.22172465388682372;-0.11315185626277514
TCN2;0.6905018396258837;0.05829015917647403
THEM4;0.5342602723017457;0.1076629693367537
TSPAN15;0.4501600658738778;-0.10754859768686631
ALG8;0.10081731259865118;0.4148361629457995
ARHGAP20;0.6237837866020517;0.04533490017865756
ARV1;0.2913812457490732;-0.30318210438970566
BEND7;0.7822523247767118;-0.026286606619077807
C10orf58;0.004568021571727796;0.39255954439494606
C16orf74;0.11009898637667968;0.160704106699517
C5orf33;0.16661945391092425;-0.28254189446641675
DSCR6;0.2840073499551624;0.08763985540723404
DYNLT1;0.06817632140080855;-0.4802300866591463
FAM40B;0.8805600559587796;0.016250839851837177
GMPPB;0.4153502651556388;-0.21796646780088988
ICA1;0.45866370223239084;-0.08438182289207602
KCNH2;0.4745500102133263;-0.0513883397895337
KCNJ13;0.4899666232512834;-0.05087741730675929
KCNK5;0.0007474912717120722;0.29064494984597056
LOC100009676;0.7306676900762671;-0.07856224675093719
MAEL;0.18743525631596725;-0.079482568269235
MX2;0.40202432027496504;0.07789560078895534
NOS3;0.2907216376105649;-0.16218171836583037
OMD;0.4247536368666407;0.05498682362224193
POLR3GL;0.33441107409785964;-0.26705324736449304
RLN2;0.25955023353526163;-0.10694097056141302
TFE3;0.15138326989106626;0.41986750001754497
TLCD1;0.45621027332472;0.10931871066034317
TMEM65;0.7496977866827323;-0.06305502316017936
TMEM92;0.5900224496987951;0.04049375993822298
ABI2;0.8220982770333161;0.06425116979056616
ACAD8;0.006620786591397822;-0.7968023550488242
ARFGEF2;0.06102324876172062;0.5913365312206151
ASXL2;0.8680693689460973;-0.04145422010930777
